## ① 読みの食い違い（雑音の型を除く）: 行 | 語 | 読み→音 | 位置 | 語の GOP
c101-2 | は | w→h |  | -6.8
c101-2 | 全員 | N→e |  | -5.4
c102-1 | 原因 | N→e |  | -2.8
c102-2 | ドア | ∅→w |  | 0.0
c103-1 | ドア | ∅→w |  | 0.0
c107-1 | 問い | ∅→g |  | 0.0
c110-1 | 報告 | h→m | 頭 | -2.5
c112-1 | 報告 | h→m | 頭 | -5.8
c201-1 | は | w→h |  | -8.9
c202-1 | 機体 | k→h | 頭 | -3.2
c204-1 | は | w→h |  | -7.0
c204-2 | ーツー | tsu→ets |  | -0.2
c205-2 | 英国 | ∅→m | 頭 | -4.2
c205-2 | 航空 | k→h |  | -3.9
c206-2 | 客室 | ky→hy | 頭 | -3.4
c208-1 | ドア | ∅→w |  | 0.0
c208-2 | ドア | ∅→w |  | 0.0
c212-2 | 断言 | d→b | 頭 | -3.4
c216-1 | オルリー | i→N |  | -1.0
c216-2 | いう | i→y | 尾 | -5.8
c219-1 | 作業 | giy→gy |  | -12.1
c220-1 | 昼 | h→∅ | 頭 | -1.5
c220-1 | は | w→h |  | -8.1
c221-1 | 報告 | h→m | 頭 | -7.0
c222-1 | ドア | ∅→w |  | 0.0
c301-1 | ドア | ∅→w |  | 0.0
c301-2 | 線 | s→z | 頭 | -3.1
c301-2 | ドア | a→o |  | -4.1
c302-1 | 行う | ∅→aw |  | 0.0
c302-1 | 行う | ∅→r | 尾 | 0.0
c303-2 | ドア | ∅→w |  | 0.0
c304-1 | 縁 | eN→fuchi |  | -9.5
c306-2 | ひと | ∅→g |  | -1.4
c306-2 | 動き | g→m |  | -8.0
c306-2 | で | d→t |  | -5.6
c309-1 | 開い | hir→∅ |  | -11.5
c311-3 | 灯り | tomo→ka | 頭 | -9.3
c311-3 | ドア | ∅→w |  | 0.0
c312-1 | 灯り | tomo→aka |  | -11.0
c313-2 | 何 | ni→N |  | -10.3
c313-3 | に | ∅→ha |  | 0.0
c315-2 | 縁 | eN→uchi |  | -10.6
c317-1 | 警告 | k→t | 頭 | -3.8
c317-1 | 灯 | t→d |  | -7.7
c317-1 | 灯 | o→N |  | -7.7
c321-1 | 床 | y→∅ | 頭 | -5.0
c321-2 | 床 | y→∅ | 頭 | -5.5
c321-2 | 通っ | kay→t |  | -12.1
c401-2 | 機体 | k→sh | 頭 | -2.6
