pr05-2  [—→テン]
  台本: その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
  聞取: その八十一点七秒後、燃料タンクを覆う断熱材のかけらが剥がれ落ちた。
pr06-2  [アイダ→カン]
  台本: そのあいだ、わずか0.2秒である。
  聞取: その間、わずか0.2秒である。
pr10-2  [コ→ド]
  台本: ここでも、その線は越えない。
  聞取: どこでもその線は越えない。
c109-1  [オオ→タイビ／ハ→ガ]
  台本: オービタの先と外部タンクは、2本の支柱でつないである。
  聞取: 大尾びたの先と外部タンクが二本の支柱でつないである。
c111-2  [キョオ→リュウ]
  台本: 強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
  聞取: 硫化炭素炭素という材料の略で、片方の翼に二十二枚が並ぶ。
c113-2  [ネ→ナタイ]
  台本: その値は0.008ジュール。1円玉を80センチ落とすほどの力。
  聞取: その名帯は0.08ジュール。一円玉を八十センチ落とすほどの力。
c206-2  [コオ→ソク／—→テン]
  台本: 高度は約20キロ。速さは音の2.46倍だった。
  聞取: 速度は約二十キロ、速さは音の二点四六倍だった。
c212-2  [リ→—]
  台本: 離陸から追い続ける役目は、そのうち5か所。
  聞取: 陸から追い続ける役目はそのうち五箇所
c214-2  [ア→マ／ッ→—]
  台本: 上がっていくシャトルを追う力は、年々落ちていったとみられる。
  聞取: 曲がっていくシャトルを追う力は年々落ちていたと見られる。
c307-2  [ハヘン→ウマ／センチ→—]
  台本: 破片の位置が51センチずれるだけで、速さの答えは大きく動く。
  聞取: 馬 pen の位置が五十一 cm ずれるだけで速さの答えは大きく動く。
c312-1  [ア→ワ]
  台本: 当たった範囲は、たたみ1枚ほどの広さまで絞れた。
  聞取: 渡った範囲は畳一枚ほどの広さまで絞れた。
c403-1  [ツミニ→—]
  台本: 積み荷の実験をまとめる責任者は、マイケル・アンダーソン、43歳。
  聞取: SM2の実験をまとめる責任者はマイケルアンダーソン、四十三歳。
c415-2  [ダ→カ／ツザ→ッタ]
  台本: 断熱材の衝突は、16日間の暮らしに何の影響も与えなかった。
  聞取: 環熱帯の衝突は十六日間の暮らしに何の影響も与えなかった。
c503-2  [ダ→カ／ガ→ナ]
  台本: 誰が責任者なのかが、決まらないままになった。
  聞取: 彼が責任者なのかな？決まらないままになった。
c510-3  [ヒトリ→ニン]
  台本: 誰ひとり、調べていなかった。
  聞取: 誰一人調べていなかった。
c511-1  [ケ→リ]
  台本: 計算のほうは、写真を求める前から進んでいた。
