行	扱い	理由
# 9本目 テネリフェ ⑤a（2026-09-16）。el_verdicts.py の ③＝手書きの判断（①辞書・②取り直しの記録を上書きする）。
# 根拠は audio/el_qa の記録（全文起こし2周＝ep9_el_yomi_round1.tsv／ep9_el_yomi.tsv、A/B＝ep9_yomi_ab.tsv と ep9_ab*.log、取り直し＝ep9_retake_*.log）
# ── A. 表記のゆれ（読みは同じ。聞取の字の当て方／janome の読み違い）────────────────
pr06-1	表記のゆれ（読みは同じ）	代えて→『変えて』＝かえて
pr07-2	表記のゆれ（読みは同じ）	あいだ→『間』（janome がマと読んだだけ）
pr10-3	表記のゆれ（読みは同じ）	言う→『いう』
c112-2	表記のゆれ（読みは同じ）	1時29分→『一時二十九分』（janome の読み違い）
c113-1	表記のゆれ（読みは同じ）	代わった→『変わった』
c113-2	表記のゆれ（聞取の揺れ）	2周目だけ『ラスパレマス・七時四二分』。同じ音の1周目は正しい
c118-1	表記のゆれ（読みは同じ）	このあと→『この後』
c118-3	表記のゆれ（読みは同じ）	二機→『二基』＝にき
c202-1	表記のゆれ（読みは同じ）	3月27日→『三月二十七日』
c203-2	表記のゆれ（読みは同じ）	あと→『後』
c206-2	表記のゆれ（読みは同じ）	行き先（ゆきさき／いきさき）
c214-1	表記のゆれ（読みは同じ）	3機→『三基』
c309-1	表記のゆれ（読みは同じ）	付いて→『ついて』
c310-2	表記のゆれ（読みは同じ）	3機→『三基』・あいだ→『間』
c314-2	表記のゆれ（読みは同じ）	あいだ→『間』
c316-3	表記のゆれ（読みは同じ）	いちばん→『一番』（頭欠けの所見は漢数字の誤報）
c319-1	表記のゆれ（読みは同じ）	あいだ→『間』
c401-2	表記のゆれ（読みは同じ）	30分→『三十分』
c407-1	表記のゆれ（読みは同じ）	このあと→『この後』
c417-2	表記のゆれ（読みは同じ）	無さそう→『なさそう』
c505-1	表記のゆれ（読みは同じ）	0メートル→『ゼロメートル』
c520-1	表記のゆれ（読みは同じ）	中心線灯→『中心尖塔』＝ちゅうしんせんとう・灯り→『明かり』
c520-2	表記のゆれ（読みは同じ）	灯り→『明かり』
c522-1	表記のゆれ（聞取の揺れ）	灯り→『明かり』。2周目だけ『消えていた』＝同じ音の1周目は『消えている』
c608-2	表記のゆれ（読みは同じ）	なりうる→『なり得る』
c616-2	表記のゆれ（読みは同じ）	あと→『後』
c617-3	表記のゆれ（読みは同じ）	ふう→『風』
c618-2	表記のゆれ（読みは同じ）	分から→『わから』（頭欠けの所見は表記の誤報）
c621-1	表記のゆれ（聞取の揺れ）	2周目だけ『広告主は』。同じ音の1周目は『報告書は』
c703-2	表記のゆれ（読みは同じ）	分かる→『わかる』
c706-3	表記のゆれ（読みは同じ）	分かって→『わかって』
c708-2	表記のゆれ（読みは同じ）	あと→『後』
c713-3	表記のゆれ（読みは同じ）	パパへ→『パパエ』（へ＝え）
c718-1	表記のゆれ（読みは同じ）	あとから→『後から』
c719-1	表記のゆれ（読みは同じ）	注に→『中に』（ちゅうに）
c719-2	表記のゆれ（読みは同じ）	分かった→『わかった』
c724-2	表記のゆれ（読みは同じ）	あいだ→『間』
c725-1	表記のゆれ（読みは同じ）	あいだ→『間』
c727-2	表記のゆれ（読みは同じ）	欠けた→『かけた』
c732-1	表記のゆれ（読みは同じ）	返って／肯定→『帰って／皇帝』（同じ音）。数:06 は先頭ゼロの誤報（『六分』）
c806-1	表記のゆれ（読みは同じ）	灯り→『明かり』。数:06 は先頭ゼロの誤報
c813-1	表記のゆれ（読みは同じ）	主脚→『主客』＝しゅきゃく
c901-2	表記のゆれ（読みは同じ）	雲→『蜘蛛』＝くも
c902-1	表記のゆれ（読みは同じ）	分からない→『わからない』。重複読みの疑いは誤報＝台本自体が「鳴ったのかも」を2回含む
c903-2	表記のゆれ（読みは同じ）	分からない→『わからない』
c904-3	表記のゆれ（読みは同じ）	分からない→『わからない』
c905-1	表記のゆれ（読みは同じ）	やって来た→『やってきた』
c911-2	表記のゆれ（読みは同じ）	分かった→『わかった』
c913-2	表記のゆれ（読みは同じ）	二機→『二基』（決め所#13）
c915-2	表記のゆれ（読みは同じ）	無くなった→『なくなった』
ep02-2	表記のゆれ（読みは同じ）	肯定→『高低』＝こうてい
ep03-2	表記のゆれ（読みは同じ）	機会→『機械』＝きかい
ep06-1	表記のゆれ（読みは同じ）	あと→『後』
# ── B. 数の照合の誤報（先頭ゼロ 0x を『六分』などと正しく読んでいる）────────────────
pr09-2	数は正しい（先頭ゼロの誤報）	『十七時六分五十秒』
c707-1	数は正しい（先頭ゼロの誤報）	『十七時五分四十四秒』
c713-1	数は正しい（先頭ゼロの誤報）	『十七時六分九秒』
c716-1	数は正しい（先頭ゼロの誤報）	『十七時六分十三秒』
c716-3	数は正しい（先頭ゼロの誤報）	『六秒後の十七時六分十七秒』。あと→後
c729-1	数は正しい（先頭ゼロの誤報）	『十七時六分二十九秒』
c731-1	数は正しい（先頭ゼロの誤報）	『十七時六分三十二秒』
c811-1	数は正しい（先頭ゼロの誤報）	『十七時六分四十七秒』
# ── C. A/B で見送った（元の音のほうが正しい）───────────────────────────
c308-1	元の音を残した（A/B で悪化）	管制塔→かんせいとう は通ったが行頭『ジャスパルマス』に崩れた。元の音は2回とも正しい
c619-1	元の音を残した（A/B で悪化）	管制塔→かんせいとう の後『十七時七三分』。元の音は2回とも正しい。数:03 は先頭ゼロの誤報
c701-1	元の音を残した（声は数を読んでいる）	全文2周は『度』だけ → 語の時刻で『度』0.94秒≒4モーラ → 元の音を3回目・4回目に起こすと『180度』『百八十度』。カナ・漢数字の案は採らず
ep10-2	元の音を残した（A/B で悪化）	漢数字にしたら『1972年…11時』。元の音は2回とも『1977年3月27日17時6分50秒』
# ── D. 異音の門番の unsure＝促音・語末の「と」（el_artifact_words で語の時刻に重ねた。本物の語）─────────
c211-2	本物の語（異音の誤報）	3テイクとも末尾に音＝『な・か・っ・た』の促音に重なる
c509-1	本物の語（異音の誤報）	『な・っ・た』の促音に重なる
c617-2	本物の語（異音の誤報）	語末の『と』に重なる（聞こえた、と）
ep01-3	本物の語（異音の誤報）	『な・か・っ・た』の促音に重なる
c728-1	直した（EL_YOMI）	管制官→かんせいかん（前『観測艦』→後『管制官』）。異音の unsure は『っ・た』の促音に重なる本物の語
# ── F. 取り直しの記録を、その後の A/B で直した結果に書き直す（②の「合格／要耳」は途中の状態）──────────
c607-3	直した（EL_YOMI・行頭のかな）	🔴決め所#7。取り直しは『走路を』のまま合格の判定（頭の字が落ちただけは所見にならない穴）→ かっそうろを → 聞取2回とも『滑走路を』
c213-2	直した（EL_YOMI・行頭のかな）	全文2周＋取り直し『雪走路』→ かっそうろと → 聞取2回とも正しい
c303-2	直した（EL_YOMI・行頭のかな）	取り直し3テイク『スソーロ／スソーロ／道路』→ かっそうろの → 聞取2回とも正しい
c614-2	直した（EL_YOMI・行頭のかな）	取り直し3テイク『セツール／アスベスト路／スレソール』→ かっそうろを → 聞取2回とも正しい
c808-2	直した（EL_YOMI・行頭のかな）	全文『バッツオール』・取り直し『雪走路』→ かっそうろの → 聞取2回とも正しい
c303-1	直した（EL_YOMI・行頭のかな＋数）	取り直し3テイクで行頭が揃わない → かっそうろは＋サンゼンヨンヒャク → 聞取2回とも『滑走路は…三千四百』
c801-1	直した（EL_YOMI・行頭のかな）	全文2周＋取り直し『操縦士も』（副 が落ちる）→ ふくそうじゅうしも → 聞取2回とも正しい
c522-2	直した（EL_YOMI・行頭のかな）	全文『かかる』・取り直し『まかる／曲がる』→ はかる → 聞取2回とも『測る』
c408-2	直した（EL_YOMI）	全文2周＋取り直し『報告者』→ と ほうこくしょは → 聞取2回とも『報告書』
c624-2	直した（取り直し＋EL_YOMI）	全文2周『取り違えたが…考えたが』→ 取り直し（--must）で語尾は直るが『番目』（四が落ちる）→ ヨンバンメ → 行頭『広告主』→ ほうこくしょは → 聞取2回とも『報告書は…四番目…考えたか、と書く』
c521-3	取り直し（中身は正しい）	3テイクとも『八百メートルがいる』。不合格の所見は表記だけ（灯→明かり・無→ない・要→いる）
# ── E. 要耳（試写で、この行だけ注意して聴く）🔴＝意味・名前／⚠️＝助詞など・機械で見分けられない ─────────
c115-1	要耳🔴 名前「ブラッグ」	元の音は2回とも『ブラッグ』。数（10,800・747）をカナにした後は、取り直し3テイク＋句点のあと空白＋漢数字の計5テイクとも『ブラ**ック**』＝数を直すと名前の語尾が変わる。数が正しい今の音を残した
c321-1	要耳🔴「足す」	全文2周『立つ』・取り直し『絶つ』・A/B 前後『発す／絶す』＝6回とも「足す」と出ない。かな「たす」でも同じ＝ す の無声化を聞取が寄せている疑い。意味が変わる語なので耳で
c307-1	要耳🔴 行頭「平行誘導路」	全文2周『閉居有道路』→取り直しで誘導路は直ったが、6テイク『平常／併合／平常』・かな へいこう でも『A港』＝行頭の「へ」が落ちる型。今の音は『平常誘導路』
c611-2	要耳⚠️「KLMは」	変えよ→カエヨ で命令形は直った（前『変えよう』3回）が、後の音で『KLN**が**了解した』（2回）
c207-2	要耳⚠️「KLM機は」	全文2周とも『KLN機』。エム の m が次の「き」に引かれて「エン」に聞こえる疑い（ほかの KLM 40行は正しい）
c404-1	要耳⚠️ 助詞「乗客は」	全文2周とも『乗客**が**』。聞取の文法補正の疑いが強いが、取り直しの合否では確かめられない
c417-3	要耳⚠️ 助詞「なのかは」	全文2周とも『なのか**が**』。同上
c419-2	要耳⚠️ 助詞「不確かさは」	全文2周とも『不確かさ**が**』。同上
c712-1	要耳⚠️ 助詞「言葉は」	全文2周とも『言葉**が**』。同上
c909-3	要耳⚠️ 助詞「見えていたのは」	全文2周とも『見えていたの**が**』。同上
c731-2	要耳⚠️「なんて言った」	全文2周とも『何と言った』。意味は同じ
ep09-2	要耳⚠️ 読み「十分＝じゅうぶん」	ジュウブン をカナで送っている＝音はかなで決まる。ただし聞取は同じ字『十分』で、機械の裏取りは無い
c511-1	要耳⚠️ 読み「10分の1＝じゅうぶんのいち」	カナで送っている。聞取は『十分の一』／『10分の1』で、ごじゅっぷん型かどうかは機械で見分けられない（8本目の試写で崩れた型）
c512-2	要耳⚠️ 読み「8分の1＝はちぶんのいち」	同上
c915-3	要耳⚠️ 読み「床＝ゆか」（行頭のかな）	ユカ を送っている。聞取は『床』で、ゆか／とこ は機械で見分けられない（4本目で とこ に崩れた語）
c912-1	要耳⚠️ 読み「破片＝はへん」	ハヘン を送っている。はぺん かどうかは機械で見分けられない（8本目の試写で崩れた語）
c213-1	要耳⚠️ 読み「入れなかった＝はいれなかった」	ハイレ を送っている。聞取は同じ字『入れなかった』
