行	key	val	判定	狙った音	巻き添えの疑い	前の聞取	後の聞取
c305-1	水先人	みずさき人	採用	ミズサキジン		土肥川人はその水域を知っている案内役である。	水崎人はその水域を知っている案内役である。
c213-1	点検員	てんけん員	採用	テンケンイン		弁慶院は橋を歩いて渡っていた。	点検員は橋を歩いて渡っていた。
c208-1	補修班	ほしゅう班	効かなかった	ホシュウハン		州交通局と保守班の会社の契約にはこう書いてある。	州交通局と保守班の会社の契約にはこう書いてある。
c815-1	指針	ししん	効かなかった	シシン	—→タメ／シン→—	二〇〇九年の地震の計算方法には、橋の下を通る船の大きさと速さ	二〇〇九年の試しの計算方法には、橋の下を通る船の大きさと速さ
c427-3	右舷	うげん	採用	ウゲン		一時二十九分九秒、船首の尾栓が十七番橋脚に当たった。	一時二十九分二十九秒、船首の右舷が十七番橋脚に当たった。
c421-2	左舷	さげん	採用	サゲン	ミズサキ→ニシカワ	上級水仙神が三年の怒りを投げよと命じる。	上級。西川人が左舷の錨を投げよと命じる。
c313-3	端子台	たんし台	効かなかった	タンシダイ	タン→ハジ	唐時代は船に数千個あった	端次第は船に数千個あった
c916-2	斜張橋	しゃちょう橋	採用	シャチョオキョオ		全長二マイル。塔から張ったケーブルで桁を吊る七張橋である。	全長二マイル。塔から張ったケーブルで十桁を吊る斜張橋である。
c113-2	防衝工	ぼうしょう工	読みが取れない	ボオショオコオ		十七番と十八番の橋脚を潰れて力を吸うコンクリートと木の防衝構が囲んでいた。	十七番と十八番の橋脚を潰れて力を吸うコンクリートと木の防衝構が囲んでいた。
c312-2	舶用軽油	はくよう軽油	効かなかった	ハクヨオケエユ		この夜燃やしていたのはそのうちの柏葉桂油である。	この夜燃やしていたのはそのうちの柏葉桂油である。
c416-2	主機関	しゅ機関	見送り（もともと正しい）	シュキカン	—→キ	手記感は人が手でかけ直さないと動かない作りである。	機種機関は人が手でかけ直さないと動かない作りである。
c110-2	非冗長	ひじょうちょう	見送り（もともと正しい）	ヒジョオチョオ	—→ル	非冗長、サガネ引き帳ボルト材。サガネでできていて、引っ張られていて	非常庁鋼引っ張る部材。鋼でできていて、引っ張られていて
c110-2	引張部材	ひっぱり部材	採用	ヒッパリブザイ	コオ→ハガネ／—→リ	非冗長、サガネ引き帳ボルト材。サガネでできていて、引っ張られていて	非冗長、鋼引っ張り部材。鋼でできていて、引っ張られていて
c907-2	岸壁	がんぺき	見送り（もともと正しい）	ガンペキ	ガンペキ→イワカベ	岸壁に戻して、住処と残骸を下ろしていく。	岩壁に戻して積み荷と残骸を下ろしていく。
ep05-2	実効的	じっこう的	採用	ジッコオテキ		一方的で即時の連絡は橋で働く人の安全に欠かせない。	実効的で即時の連絡は橋で働く人の安全に欠かせない。
c615-2	寄与要因	きよ要因	効かなかった	キヨヨオイン	ヨオ→シヒ	ヒュー要員に上がったのも、船が橋脚に届いた時の備えの碁場だった	清陽院に上がったのも、船が橋脚に届いた時の備えの側だった。
c815-2	年間の隻数	ねんかんの隻数	効かなかった	ネンカンノセキスウ	キ→—	円環の積数、水路の形などを入れて崩れる見込みを出すものである。	年間のせ数、水路の形などを入れて崩れる見込みを出すものである。
