行	型	該当	本文
pr01-1	文頭の数字	1	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-1	同形異音語（一般）	日	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-1	数詞＋助数詞	1961年	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-1	数詞＋助数詞	1月	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-1	数詞＋助数詞	3日	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-1	数詞＋助数詞	9時	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-1	数詞＋助数詞	1分	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr02-1	同形異音語（一般）	人	信号は8マイル先の消防署に届き、6人が消防車で向かった。
pr02-1	数詞＋助数詞	6人	信号は8マイル先の消防署に届き、6人が消防車で向かった。
pr03-1	1モーラ語＋助詞	火は	火は出ていなかった。隊員が建物の奥へ入れたのは、
pr03-1	同形異音語（一般）	物	火は出ていなかった。隊員が建物の奥へ入れたのは、
pr03-2	同形異音語（実績）	間	警報から1時間44分後だった。中では、原子炉が壊れていた。
pr03-2	数詞＋助数詞	1時	警報から1時間44分後だった。中では、原子炉が壊れていた。
pr03-2	数詞＋助数詞	44分	警報から1時間44分後だった。中では、原子炉が壊れていた。
pr04-1	§6の語（SL-1）	支所	事故のあと、アイダホ支所が208ページの報告書を出した。
pr05-3	同形異音語（一般）	人	人が何をしたかである。
pr06-1	同形異音語（一般）	人	亡くなったのは、当直の3人。
pr06-1	数詞＋助数詞	3人	亡くなったのは、当直の3人。
pr06-1	§6の語（SL-1）	当直	亡くなったのは、当直の3人。
pr07-1	同形異音語（一般）	日	その日の午後4時、3人の当直が日勤と交代している。
pr07-1	同形異音語（一般）	人	その日の午後4時、3人の当直が日勤と交代している。
pr07-1	数詞＋助数詞	4時	その日の午後4時、3人の当直が日勤と交代している。
pr07-1	数詞＋助数詞	3人	その日の午後4時、3人の当直が日勤と交代している。
pr07-1	§6の語（SL-1）	当直	その日の午後4時、3人の当直が日勤と交代している。
pr07-1	§6の語（SL-1）	日勤	その日の午後4時、3人の当直が日勤と交代している。
pr07-2	数詞＋助数詞	5時	運転日誌の最後の書き込みは、午後5時半から9時のあいだ。
pr07-2	数詞＋助数詞	9時	運転日誌の最後の書き込みは、午後5時半から9時のあいだ。
pr08-1	数詞＋助数詞	5フィート	「炉の水槽を汲み、水位計が目盛りに入った。プラス5フィート。
pr08-1	鉤括弧	「	「炉の水槽を汲み、水位計が目盛りに入った。プラス5フィート。
pr08-1	§6の語（SL-1）	汲	「炉の水槽を汲み、水位計が目盛りに入った。プラス5フィート。
pr08-2	鉤括弧	」	全部の棒に、栓と筒などを戻している最中」。作業の途中だった。
pr09-1	文頭の数字	1	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-1	同形異音語（実績）	間	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-1	同形異音語（一般）	人	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-1	数詞＋助数詞	1時	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-1	数詞＋助数詞	44分	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-1	数詞＋助数詞	2人	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-2	同形異音語（一般）	上	床の上で動いている、1人の姿だった。
pr09-2	同形異音語（一般）	人	床の上で動いている、1人の姿だった。
pr09-2	数詞＋助数詞	1人	床の上で動いている、1人の姿だった。
pr10-1	文頭の数字	3	3人目は、建物の中から降ろせなかった。
pr10-1	同形異音語（一般）	目	3人目は、建物の中から降ろせなかった。
pr10-1	同形異音語（一般）	物	3人目は、建物の中から降ろせなかった。
pr10-1	数詞＋助数詞	3人	3人目は、建物の中から降ろせなかった。
pr10-2	同形異音語（一般）	日	降ろせたのは、6日後の1月9日、午前0時45分である。
pr10-2	数詞＋助数詞	6日	降ろせたのは、6日後の1月9日、午前0時45分である。
pr10-2	数詞＋助数詞	1月	降ろせたのは、6日後の1月9日、午前0時45分である。
pr10-2	数詞＋助数詞	9日	降ろせたのは、6日後の1月9日、午前0時45分である。
pr10-2	数詞＋助数詞	0時	降ろせたのは、6日後の1月9日、午前0時45分である。
pr10-2	数詞＋助数詞	45分	降ろせたのは、6日後の1月9日、午前0時45分である。
pr11-1	同形異音語（実績）	間	これは、その6日間と、そのあと1年の記録である。
pr11-1	数詞＋助数詞	6日	これは、その6日間と、そのあと1年の記録である。
pr11-1	数詞＋助数詞	1年	これは、その6日間と、そのあと1年の記録である。
c101-1	数詞＋助数詞	1つ	この炉には、事故の前から、分かっていないことが1つあった。
c101-2	§6の語（SL-1）	SL-1	名前は SL-1。定置式・低出力の原子炉、1号機という意味である。
c101-2	英字・記号	SL	名前は SL-1。定置式・低出力の原子炉、1号機という意味である。
c104-1	§6の語（SL-1）	ALPR	もとの名前は、アルゴンヌ低出力炉。頭文字をとって ALPR。
c104-1	英字・記号	ALPR	もとの名前は、アルゴンヌ低出力炉。頭文字をとって ALPR。
c104-2	§6の語（SL-1）	SL-1	のちに軍の呼び名にあわせ、SL-1 と改められた。
c104-2	英字・記号	SL	のちに軍の呼び名にあわせ、SL-1 と改められた。
c105-1	数詞＋助数詞	4つ	報告書は、この型の利点を4つ挙げている。
c105-2	数詞＋助数詞	1回	貨物機で運べる。1回の燃料で3年動く。
c105-2	数詞＋助数詞	3年	貨物機で運べる。1回の燃料で3年動く。
c106-1	同形異音語（一般）	上	地面の上に建てられるので、極地でも工事ができる。
c106-1	同形異音語（一般）	事	地面の上に建てられるので、極地でも工事ができる。
c107-2	数詞＋助数詞	1957年	建設は、1957年に始まった。
c108-1	同形異音語（一般）	上	円筒の鋼板を組み上げ、その中に炉を入れる。
c108-2	同形異音語（一般）	下	地下には掘らない。地面の上に、そのまま立てる。
c108-2	同形異音語（一般）	上	地下には掘らない。地面の上に、そのまま立てる。
c110-1	数詞＋助数詞	14フィート	中心にあるのが圧力容器。高さはおよそ14フィート半。
c110-2	数詞＋助数詞	4分	厚さ4分の3インチの鋼でできた、縦長の筒である。
c110-2	数詞＋助数詞	3インチ	厚さ4分の3インチの鋼でできた、縦長の筒である。
c111-1	数詞＋助数詞	9枚	その中に、燃料が40体入っている。1体は9枚の板の束で、
c112-1	数詞＋助数詞	91パーセント	濃縮度は91パーセント。試験炉らしい、高い数字である。
c112-1	EL_YOMI 既存	濃縮度は→のうしゅくどは×1	濃縮度は91パーセント。試験炉らしい、高い数字である。
c112-2	§6の語（SL-1）	ホウ素	板の側面には、ホウ素を含んだ帯が溶接してあった。
c112-2	EL_YOMI 既存	ホウ素を→ほうそを×1	板の側面には、ホウ素を含んだ帯が溶接してあった。
c113-1	§6の語（SL-1）	ホウ素	このホウ素は、反応が進みすぎないよう抑える役をしている。
c113-2	§6の語（SL-1）	ホウ素	ところが、そのホウ素が、炉の中から減っていた。
c114-1	鉤括弧	「	報告書は「何らかの分からない仕組みで、ホウ素が失われた」と書き、
c114-1	鉤括弧	」	報告書は「何らかの分からない仕組みで、ホウ素が失われた」と書き、
c114-1	§6の語（SL-1）	ホウ素	報告書は「何らかの分からない仕組みで、ホウ素が失われた」と書き、
c115-1	数詞＋助数詞	6枚	対策として、カドミウムの板を6枚、炉に差してある。
c115-2	文頭の数字	2	2番と6番の棒の溝に、3枚ずつ。
c115-2	数詞＋助数詞	3枚	2番と6番の棒の溝に、3枚ずつ。
c115-2	§6の語（SL-1）	溝	2番と6番の棒の溝に、3枚ずつ。
c116-1	数詞＋助数詞	5本	制御棒は5本。カドミウムを金属で挟んだ、十字の板である。
c116-1	§6の語（SL-1）	制御棒	制御棒は5本。カドミウムを金属で挟んだ、十字の板である。
c116-2	文頭の数字	1	1本の重さは、およそ22キログラム。
c116-2	数詞＋助数詞	1本	1本の重さは、およそ22キログラム。
c117-1	同形異音語（一般）	下	棒はラックとピニオン、つまり歯棒と歯車で上下する。
c117-1	§6の語（SL-1）	歯棒	棒はラックとピニオン、つまり歯棒と歯車で上下する。
c117-1	§6の語（SL-1）	歯車	棒はラックとピニオン、つまり歯棒と歯車で上下する。
c118-1	数詞＋助数詞	30インチ	全行程は30インチ。落としきるまで2秒とかからない。
c118-1	数詞＋助数詞	2秒	全行程は30インチ。落としきるまで2秒とかからない。
c119-1	§6の語（SL-1）	砂利	放射線を止めているのは、主に砂利である。
c119-2	文頭の数字	1	12フィートで足りると見積もられたが、16フィート入れてあった。
c119-2	数詞＋助数詞	12フィート	12フィートで足りると見積もられたが、16フィート入れてあった。
c119-2	数詞＋助数詞	16フィート	12フィートで足りると見積もられたが、16フィート入れてあった。
c120-1	同形異音語（一般）	上	炉の蓋の上には、放射線を遮る鋼と板と、コンクリートのブロックが載る。
c120-2	数詞＋助数詞	6フィート	これが遮蔽ブロック。炉の中心から半径6フィートを覆っている。
c120-2	§6の語（SL-1）	遮蔽	これが遮蔽ブロック。炉の中心から半径6フィートを覆っている。
c121-3	§6の語（SL-1）	遮蔽	遮蔽ブロックは、外さないと届かない
c122-1	§6の語（SL-1）	臨界	初めて臨界、つまり核反応がひとりでに続く状態になったのは、
c122-2	文頭の数字	1	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c122-2	同形異音語（実績）	間	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c122-2	同形異音語（一般）	日	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c122-2	数詞＋助数詞	1958年	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c122-2	数詞＋助数詞	8月	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c122-2	数詞＋助数詞	11日	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c122-2	数詞＋助数詞	2月	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c123-1	数詞＋助数詞	4割	事故までの運転量は、炉の寿命のおよそ4割。
c201-2	文頭の数字	8	8か月の課程から始まる。
c201-2	数詞＋助数詞	8か月	8か月の課程から始まる。
c202-1	数詞＋助数詞	4か月	前半の4か月は座学。機械、電気、原子力、そして放射線の管理。
c202-2	数詞＋助数詞	4か月	後半の4か月は、専門ごとの保守の実習である。
c203-1	同形異音語（実績）	間	そのあと現場に配属され、最初の3週間はまた座学。
c203-1	数詞＋助数詞	3週間	そのあと現場に配属され、最初の3週間はまた座学。
c203-2	§6の語（SL-1）	当直	それから、当直の班に入って実地に就く。
c204-1	数詞＋助数詞	3か月	およそ3か月働くと、筆記試験がある。通れば、口頭試問が2回。
c204-1	数詞＋助数詞	2回	およそ3か月働くと、筆記試験がある。通れば、口頭試問が2回。
c204-2	同形異音語（実績）	側	軍の側と、運転を請け負った会社の側である。
c204-2	同形異音語（実績）	側	軍の側と、運転を請け負った会社の側である。
c205-1	同形異音語（実績）	方	両方に通って、はじめて運転員として認定される。
c205-2	数詞＋助数詞	6か月	当直長になるには、そこからさらに6か月かかった。
c205-2	§6の語（SL-1）	当直	当直長になるには、そこからさらに6か月かかった。
c206-1	同形異音語（一般）	人	報告書は、その夜いた3人の名前を本文に書いていない。
c206-1	数詞＋助数詞	3人	報告書は、その夜いた3人の名前を本文に書いていない。
c207-2	同形異音語（一般）	日	止めたのは1960年12月23日。クリスマス休暇のためである。
c207-2	数詞＋助数詞	1960年	止めたのは1960年12月23日。クリスマス休暇のためである。
c207-2	数詞＋助数詞	12月	止めたのは1960年12月23日。クリスマス休暇のためである。
