行	検査	何が	台本	聞取
pr01-2	1字の入れ替え	器	砂漠にある試験場で、火災報知器が鳴った。	砂漠にある試験場で火災報知機が鳴った
pr04-1	1字の入れ替え	所	事故のあと、アイダホ支所が208ページの報告書を出した。	事故の後、アイダホ支署が二百八ページの報告書を出した
pr08-1	1字の入れ替え	汲	「炉の水槽を汲み、水位計が目盛りに入った。プラス5フィート。	炉の水槽を組み、水位計が目盛りに入った。プラス五フィート。
pr08-2	1字の入れ替え	栓	全部の棒に、栓と筒などを戻している最中」。作業の途中だった。	全部の棒に線と筒などを戻している最中、作業の途中だった。
pr09-1	1字の入れ替え	階	1時間44分後。ようやく運転階に入った2人が見たのは、	一時間四十四分後、ようやく運転会に入った二人が見たのは
pr11-2	頭欠け	分→わ	分かっていないことは、分かっていないと言って終わる。	わかっていないことはわかっていないと言って終わる。
pr11-2	1字の入れ替え	分	分かっていないことは、分かっていないと言って終わる。	わかっていないことはわかっていないと言って終わる。
c101-1	1字の入れ替え	分	この炉には、事故の前から、分かっていないことが1つあった。	この炉には事故の前からわかっていないことが一つあった。
c101-2	字の欠け	定式置	名前は SL-1。定置式・低出力の原子炉、1号機という意味である。	名前はSL1。低知識低出力の原子炉一号機という意味である。
c105-1	1字の入れ替え	型	報告書は、この型の利点を4つ挙げている。	報告書はこの方の利点を四つ挙げている。
c108-1	同形異音語	板	円筒の鋼板を組み上げ、その中に炉を入れる。	円筒の後半を組み上げ、その中に炉を入れる。
c108-1	1字の入れ替え	鋼	円筒の鋼板を組み上げ、その中に炉を入れる。	円筒の後半を組み上げ、その中に炉を入れる。
c108-2	1字の入れ替え	立	地下には掘らない。地面の上に、そのまま立てる。	地下には掘らない。地面の上にそのまま建てる。
c114-1	1字の入れ替え	分	報告書は「何らかの分からない仕組みで、ホウ素が失われた」と書き、	報告書は何らかのわからない仕組みでホウ素が失われたと書き
c115-1	1字の入れ替え	差	対策として、カドミウムの板を6枚、炉に差してある。	対策としてカドミウムの板を六枚炉に挿してある。
c118-1	1字の入れ替え	行	全行程は30インチ。落としきるまで2秒とかからない。	全工程は三十インチ。落としきるまで二秒とかからない。
c201-2	1字の入れ替え	課	8か月の課程から始まる。	八ヶ月の過程から始まる
c203-2	1字の入れ替え	就	それから、当直の班に入って実地に就く。	それから当直の班に入って実地につく。
c208-2	字の欠け	弁復	復水ポンプの改造、弁と配管の工事が行われている。	伏水ポンプの改造、ベント配管の工事が行われている。
c209-1	1字の入れ替え	開	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。	年が明けて一月三日、深夜零時から朝八時の当直四人が建物を空けた。
c210-2	1字の入れ替え	栓	そのうえで、制御棒の駆動部と栓を取り外している。	その上で制御棒の駆動部と線を取り外している。
c215-1	1字の入れ替え	汲	1、炉の水を汲み下げる。手順書54番。	一、炉の水をくみ下げる。手順書五十四番。
c215-2	1字の入れ替え	栓	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。	二、制御棒を組み直し、線を入れ、遮蔽ブロックを戻す。ただし、上の蓋は開けたまま。
c216-2	字の欠け	動始	5、始動確認表を通す。6、冷えた状態で棒を落としてみる。	五、指導確認表を通す。六、冷えた状態で棒を落としてみる。
c217-1	1字の入れ替え	栓	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。	七、三百ポンドまで圧をかけて漏れを見る。上の線を戻す。
c221-2	1字の入れ替え	汲	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。	炉の水槽を組んだ。水位計が目盛りに入った。プラス五フィート。
c306-1	字の欠け	無筒	円筒にも、下の杭にも、目に見える損傷は無い。	円頭にも下の杭にも目に見える損傷はない。
c316-1	1字の入れ替え	棒	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。	七番、ボート覆いは六インチから八インチ壁の方へずれていた。
c316-2	1字の入れ替え	歯	棒の延長と歯棒も、継手のところで曲がるか、折れるかしている。	棒の延長と羽棒も継手のところで曲がるか折れるかしている。
c320-1	1字の入れ替え	刃	刃はほぼ水平に倒れ、1番と2番のあたりから、	葉はほぼ水平に倒れ、一番と二番の辺りから
c321-1	1字の入れ替え	刃	その刃の外側の被覆は、破れ、ねじれ、	その歯の外側の被覆は破れ、ねじれ
c322-1	1字の入れ替え	環	下の散水環、つまり炉心に水をかける輪の管は、壁から引きちぎられていた。	下の散水管、つまり炉心に水をかける輪の管は壁から引きちぎられていた。
c323-1	1字の入れ替え	載	しかもその上に、燃料箱の蓋が2枚、載っていた。	しかもその上に燃料箱の蓋が二枚乗っていた。
c323-2	1字の入れ替え	環	上の散水環も何か所かで壁から外れ、炉心の上を横切っていた。	上の散水管も何箇所かで壁から外れ、炉心の上を横切っていた。
