行	扱い	理由
# 人（Claude）が1行ずつ書いた判断。el_verdicts.py がこれを最優先で台帳に差し込む（2026-09-07 ⑤a・SL-1）
#
# ── ① 異音の門番（el_tts.synth の振り直し）が unsure/real と判定した22行 ──────────────────
#    el_artifact_words.py で Scribe の語ごとの時刻に重ねた結果、20行は**促音**（っ）が異音の位置に乗っていた。
#    異音の物差しは「短い音→無音→音」なので、促音はその形に一致する＝構造的な誤検知（4本目も11/12件が同じ）。
pr01-2	正しい（異音の所見は促音）	末尾「鳴|っ|た」（3.10-3.18秒の っ が異音の位置）
pr09-2	正しい（異音の所見は促音）	末尾「だっ|た」
c111-1	正しい（異音の所見は促音）	「1体は」＝いったい の っ（3.70秒）が異音の位置
c204-2	正しい（異音の所見は促音）	「請け負|っ|た」
c303-1	正しい（異音の所見は促音）	末尾「だっ|た」。取り直しでも聞取は台本どおり
c327-1	正しい（異音の所見は促音）	「載|っ|て」
c401-1	正しい（異音の所見は促音）	末尾「鳴|っ|た」
c402-2	正しい（異音の所見は促音）	末尾「鳴|っ|た」
c410-1	正しい（異音の所見は促音）	末尾「向|か|っ|た」
c415-1	正しい（異音の所見は促音）	「だ|っ|た。」
c512-2	正しい（異音の所見は促音）	「だ|っ|た」
c513-1	正しい（異音の所見は促音）	「入|っ|た」と「持|っ|て」の2か所とも促音
c516-2	正しい（異音の所見は促音）	「だ|っ|た」
c517-2	正しい（異音の所見は促音）	「落ち合|っ|た」。取り直し1回で聞取「門から」（前は「本から」）
c603-1	正しい（異音の所見は促音）	「洗|っ|た」
c801-2	正しい（異音の所見は促音）	「始ま|っ|た」
c813-1	直した（EL_YOMI）＋異音は促音	建屋は、切って→たてやは、切って（聞取「手は」→「建屋は」）。異音の位置は「な|っ|た」
c815-1	正しい（異音の所見は促音）	「入|っ|た」。取り直し1回で聞取「運転階」（前は「巡展開」）
c816-2	正しい（異音の所見は促音）	「掘|っ|て|あ|っ|た」
ep05-1	正しい（異音の所見は促音）	「だ|っ|た」
ep06-1	正しい（異音の所見は促音）	「9時1分」＝いっぷん の っ が異音の位置（4.40-4.54秒）
#
# ── ② 異音のうち、促音が重ならなかった2行＝**試写の要耳へ** ────────────────────────────
c116-2	要耳（低）文頭に語の無い音	head 0.03-0.15秒・振幅比1.6 に Scribe の語が1つも重ならない（ほかの20行は全部 促音）。文字起こしは台本どおり
c302-1	要耳（低）「は、」の間に浮いた音	mid 1.75-1.91秒・振幅比2.7。重なるのは助詞「は」（1.38-2.04秒＝読点の溜め）だけで促音が無い。文字起こしは台本どおり
#
# ── ③ 字で洗う検査に残った10行＝**読みは正しく、Scribe の字の当て方が違うだけ** ──────────────
#    根拠は「聞取の語の読みが台本と同じ」こと。推測ではなく、同音であることが字で確かめられるものだけ。
pr11-2	表記のゆれ（読みは同じ）	分かって→わかって。かな書きにしただけ
c707-2	表記のゆれ（読みは同じ）	分かる→わかる
c101-2	表記のゆれ（同音の別字）	定置式（ていちしき）→低知識（ていちしき）
c108-1	表記のゆれ（同音の別字）	鋼板（こうはん）→後半（こうはん）
c306-1	表記のゆれ（同音の別字）	円筒（えんとう）→円頭（えんとう）／無い→ない
c712-1	表記のゆれ（同音の別字）	要旨（ようし）→用紙（ようし）。⚠️ 文頭の c725-1 は濁って ようじ になったので EL_YOMI で直した
ep02-1	表記のゆれ（同音の別字）	いちばん厚い→一番熱い（あつい）
c216-2	直した（EL_YOMI）＋残りは表記のゆれ	始動確認表→しどう確認表。聞取「指導確認表」＝しどう と読めている（前は「シード」）
