行	扱い	理由
# 人（Claude）が1行ずつ書いた判断。el_verdicts.py がこれを最優先で台帳に差し込む（2026-09-05 ⑤a）
# ── 異音の門番（el_tts.synth の振り直し）が unsure/real と判定した行＝語の時刻で見ると全部 促音・破裂音（el_artifact_words --retakes）
pr07-1	正しい（異音の所見は促音）	末尾「だっ|た」。3テイクとも同じ位置
c114-1	正しい（異音の所見は促音）	「ば、いっ（てん）」の「いっ」
c310-2	正しい（異音の所見は促音）	「立っ」
c316-2	正しい（異音の所見は促音）	末尾「だっ|た」
c317-2	正しい（異音の所見は促音）	「たっ（た）」
c322-2	正しい（異音の所見は促音）	再合成後のテイクに所見なし
c330-2	正しい（異音の所見は破裂音）	「からは、絶対に」の「は」（間に挟まれた1音）
c335-2	正しい（異音の所見は破裂音）	「でなく、実験」の「く」の破裂
c407-1	正しい（異音の所見は促音）	「いっかしょ」の「いっ」
c426-2	正しい（異音の所見は促音）	決め所。末尾「だっ|た」
c501-1	正しい（異音の所見は促音）	文頭「かっこ」の「かっ」
c518-2	正しい（異音の所見は促音）	「鉄筋」の「てっ」
c527-2	正しい（異音の所見は促音）	末尾「いっ|た」
c625-2	正しい（異音の所見は促音）	「広がっていった」の「がっ」「いっ」
ep10-2	正しい（異音の所見は促音）	「終わった」の「わっ|た」
ep11-2	正しい（異音の所見は破裂音）	決め所。「余裕は、決定的」の「け」
# ── 異音の門番の「gap」（句点・読点の間が 0.7〜0.9秒）＝振り直し対象外（溜め）。聞取は台本どおり
c105-1	正しい（間 0.85秒＝句点の溜め）	「地下駐車場である。」のあと
c202-2	正しい（間 0.91秒＝句点の溜め）	「朝である。」のあと
c219-1	正しい（間 0.87秒＝句点の溜め）	「場所が変わる。」のあと
c228-2	正しい（間 0.75〜0.97秒×4＝読点の溜め）	「9分前、6分から7分前、…」の列挙。1行 10.3秒でこの台本の最長行
c326-1	正しい（間 0.76秒＝句点の溜め）	「同じである。」のあと
c408-2	正しい（先頭 10ms・振幅 0.1倍＝無音の揺れ）	門番の閾値未満の所見
c410-1	正しい（間 0.92秒＝句点の溜め）	「引かれている。」のあと
c433-1	正しい（間 0.91秒＝句点の溜め）	「何か。」のあと
c723-2	正しい（間 0.73秒＝句点の溜め）	「振動。」のあと
# ── 字で洗う検査（el_check_heard）に残った所見＝Scribe の表記（同音の別字・カナ・英字）。読みは正しい
c111-2	正しい（Scribe が「もん」とかな書き）	門の読み「もん」が聞取に出ている（漢字を当てなかっただけ）
c420-2	正しい（同音の別字）	注記→中期（ちゅうき）
c523-2	正しい（同音の別字）	塩→潮（しお）
c526-1	正しい（Scribe のカナ書き）	錆→サピ／サビ（さび）。取り直し4テイクとも同じ
c705-1	正しい（同音の別字）	工事→浩二（こうじ）
c706-1	正しい（Scribe が英字に直した）	エイティセブン・パーク→87 Park
c621-2	正しい（Scribe が英字に直した）	ゾーンA／B→Zone A／B
c116-2	正しい（取り直しで「呼ぶ」）	前のテイクは聞取「読む」（b/m は Scribe が取り違えやすい音）。2テイク合議は割れたが取り直し1回で合格
# ── 要耳（試写で、この秒だけ注意して聴く）。機械の網は通したが、決めた根拠が間接的な行
pr04-2	要耳（低）1.2センチ	「1.2」をかな「いってんに」に固定。対照実験で読みは正しい（5モーラ・c122-2 では Scribe も「一点二」）が、Scribe が点を落としやすい。同じ読みが c112-2・c114-1・c122-2、「1.9」が c413-1
c121-2	要耳（低）文頭の「門」	かな「もん」に。A/B と取り直しの聞取は「門」。前は「本」
c124-2	要耳（低）文頭の「門」	かな「もん」に。前は「王」
c214-1	要耳（低）文頭の「隙間」	取り直し1回で「隙間」。前のテイクは「暇」（す が弱い）
c311-1	要耳（中）文頭の「柱」	取り直し3テイク目で「柱」（1・2は 橋が／滑車）。文中の柱は全行正しい
c317-1	要耳（中）文頭の「起きた柱」	取り直し2テイク目で合格（前は 大きな星）
c328-1	要耳（中）文頭の「柱」	取り直し3テイク目で合格（前は 頭）
c327-2	要耳（中）文頭の「崩落」	かな「ほうらく」＋取り直し2テイク目で「崩落」（1は 大楽）。かなでも安定しない語
c516-1	要耳（中）文頭の「崩落」	かな「ほうらく」＋取り直し1回で「崩落」。前は スーズ楽／風俗
c412-2	要耳（中・決め所）¾インチ	「よんぶんのさんインチ」に固定。聞取「四分の三インチ」。前は「七四インチ」
c614-2	要耳（中・決め所）下端筋	「かたんきん」に固定。聞取「下丹筋」（か・たん・きん の当て字）。前は「下半身」
c722-2	要耳（低・決め所）大きく寄与	取り直し1回で「大きく寄与してはいない」。前は「こう聞くキヨスではいない」
c406-2	要耳（低）赤が／黄が	取り直し1回で合格。前は「母かが…父が」（1音の語＝聞き取りにくい）
c431-1	要耳（低）文頭の「瓦礫」	かな「がれき」に。前は わらき／荒木（れ→ら）。c409-2 も同じ
c725-2	要耳（低）文頭の「陥没」	かな「かんぼつ」に。前は 消耗／宝物
c504-1	要耳（中）文頭の「北側」	取り直し1回で「北側」。前のテイクは聞取「西側」＝意味が変わる型
c201-1	要耳（低）「ここから、NIST の」	取り直し1回で合格。前は「そこから日数の」
c629-2	要耳（低）文頭の「検討された」	取り直し1回で合格。前は「選抜された」
c228-2	要耳（中）「分の単位になる」	前のテイクは聞取「十分の単位」で、語の時刻に「十」の実音 0.36秒があった（＝じゅっぷん と読んだ疑い）。「ふん」に固定して取り直し、聞取「分の単位」・余分な数なし。読点の間 0.75〜0.97秒×4 はそのまま
