# ep11 の「危ない数」を耳で通した記録（tools/check_yomi_numbers.py が読む）
# 行ID	語	判定	いつ・だれが
# 🔴 判定は ok（耳で通した）か ng（直す）。書いていない行は「誰も聞いていない」として落ちる。
# 🔴 2026-09-22 の試写で指摘が出たのは 0:38〜33:25。**それより後は ok にしていない**（聴いたという証拠が無いため）。再試写で埋めること。
pr01-1	1986年	ok	2026-09-22 試写（r04 を通しで聴いた）
pr01-1	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
pr01-1	28日	ok	2026-09-22 試写（r04 を通しで聴いた）
pr01-2	30センチ	ok	2026-09-22 試写（r04 を通しで聴いた）
pr02-1	11時	ok	2026-09-22 試写（r04 を通しで聴いた）
pr02-1	38分	ok	2026-09-22 試写（r04 を通しで聴いた）
pr02-2	25回目	ok	2026-09-22 試写（r04 を通しで聴いた）
pr03-1	73秒	ok	2026-09-22 試写（r04 を通しで聴いた）
pr03-2	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
pr05-1	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
pr05-1	2人	ok	2026-09-22 試写（r04 を通しで聴いた）
pr05-2	1人	ok	2026-09-22 試写（r04 を通しで聴いた）
pr07-2	2本	ok	2026-09-22 試写（r04 を通しで聴いた）
pr07-3	7ミリ	ok	2026-09-22 試写（r04 を通しで聴いた）
pr08-1	2.2	ok	2026-09-22 試写（r04 を通しで聴いた）
pr08-1	2.2度	ok	2026-09-22 試写（r04 を通しで聴いた）
pr08-1	36度	ok	2026-09-22 試写（r04 を通しで聴いた）
pr08-2	8.3	ok	2026-09-22 試写（r04 を通しで聴いた）
pr08-2	8.3度	ok	2026-09-22 試写（r04 を通しで聴いた）
pr10-2	1986年	ok	2026-09-22 試写（r04 を通しで聴いた）
pr10-2	6月	ok	2026-09-22 試写（r04 を通しで聴いた）
pr10-2	6日	ok	2026-09-22 試写（r04 を通しで聴いた）
pr10-3	1巻	ok	2026-09-22 試写（r04 を通しで聴いた）
pr11-1	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c101-2	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c101-2	27日	ok	2026-09-22 試写（r04 を通しで聴いた）
c102-1	6度	ok	2026-09-22 試写（r04 を通しで聴いた）
c102-2	11時間	ok	2026-09-22 試写（r04 を通しで聴いた）
c102-3	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c106-2	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c107-1	29メートル	ok	2026-09-22 試写（r04 を通しで聴いた）
c107-1	65メートル	ok	2026-09-22 試写（r04 を通しで聴いた）
c110-2	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c110-2	28日	ok	2026-09-22 試写（r04 を通しで聴いた）
c110-2	2時	ok	2026-09-22 試写（r04 を通しで聴いた）
c112-2	9時	ok	2026-09-22 試写（r04 を通しで聴いた）
c114-1	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c114-2	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c114-3	三つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c201-1	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
c201-2	1985年	ok	2026-09-22 試写（r04 を通しで聴いた）
c201-2	5人	ok	2026-09-22 試写（r04 を通しで聴いた）
c201-2	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c201-2	27日	ok	2026-09-22 試写（r04 を通しで聴いた）
c202-2	45種類	ok	2026-09-22 試写（r04 を通しで聴いた）
c202-2	7000時間	ok	2026-09-22 試写（r04 を通しで聴いた）
c204-2	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c206-2	1984年	ok	2026-09-22 試写（r04 を通しで聴いた）
c208-1	7人目	ok	2026-09-22 試写（r04 を通しで聴いた）
c209-1	1985年	ok	2026-09-22 試写（r04 を通しで聴いた）
c209-1	7月	ok	2026-09-22 試写（r04 を通しで聴いた）
c209-3	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
c212-1	2人	ok	2026-09-22 試写（r04 を通しで聴いた）
c213-1	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c213-2	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c213-3	一つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c215-1	1月	ok	2026-09-22 試写（r04 を通しで聴いた）
c215-1	28日	ok	2026-09-22 試写（r04 を通しで聴いた）
c215-1	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
c215-2	2時間	ok	2026-09-22 試写（r04 を通しで聴いた）
c215-2	1時間	ok	2026-09-22 試写（r04 を通しで聴いた）
c215-3	1時間	ok	2026-09-22 試写（r04 を通しで聴いた）
c216-2	7人	ok	2026-09-22 試写（r04 を通しで聴いた）
c301-1	11時	ok	2026-09-22 試写（r04 を通しで聴いた）
c301-1	38分	ok	2026-09-22 試写（r04 を通しで聴いた）
c301-2	2.2	ok	2026-09-22 試写（r04 を通しで聴いた）
c301-2	300メートル	ok	2026-09-22 試写（r04 を通しで聴いた）
c301-2	2.2度	ok	2026-09-22 試写（r04 を通しで聴いた）
c302-1	73秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c302-1	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c302-3	1コマ	ok	2026-09-22 試写（r04 を通しで聴いた）
c302-3	1000分	ok	2026-09-22 試写（r04 を通しで聴いた）
c302-3	1秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c303-1	6.6	ok	2026-09-22 試写（r04 を通しで聴いた）
c303-1	6.6秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c306-3	0.678	ok	2026-09-22 試写（r04 を通しで聴いた）
c306-3	0.678秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c310-2	0.836	ok	2026-09-22 試写（r04 を通しで聴いた）
c310-2	2.5	ok	2026-09-22 試写（r04 を通しで聴いた）
c310-2	0.836秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c310-2	2.5秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c310-2	8回	ok	2026-09-22 試写（r04 を通しで聴いた）
c311-1	1秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c311-1	4回	ok	2026-09-22 試写（r04 を通しで聴いた）
c314-1	3.375	ok	2026-09-22 試写（r04 を通しで聴いた）
c314-1	3.375秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c314-3	二つ	ok	2026-09-22 試写（r04 を通しで聴いた）
c315-2	64秒	ok	2026-09-22 試写（r04 を通しで聴いた）
c318-1	1コマ	ok	2026-09-22 試写（r04 を通しで聴いた）
c318-2	60秒	ok	2026-09-22 試写（r04 を通しで聴いた）
