# ep13 の「危ない数」の記録（tools/check_yomi_numbers.py が読む）
# 行ID	語	判定	いつ・だれが
# 🔴 phon＝音素の網で読みを確かめた（耳ではない）。ok＝耳で通した。ng＝直す
c101-1	1974年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c101-1	3月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c101-1	3日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c101-1	37キロ	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c101-2	346人	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c105-1	48人	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c202-2	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c202-2	2月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c202-2	12月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c209-1	11時	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c209-1	35分	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c212-1	3月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c212-1	6日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c220-1	12時	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c220-1	30分	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c220-1	30秒	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c220-2	55分	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c401-1	1971年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c401-1	7月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c401-1	28日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c402-2	1970年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c402-2	5月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c402-2	29日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c407-1	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c407-1	3月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c407-1	3日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c411-1	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c411-1	6月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c411-1	12日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c411-1	96	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c422-3	5月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c422-3	30日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c506-1	3日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c506-1	6月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c506-1	15日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c515-2	6月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c515-2	16日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c515-2	4	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c520-3	7月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c520-3	6日	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c605-1	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c605-1	6月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c610-2	1971年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c610-2	5月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c611-2	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c611-2	9月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c613-2	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c613-2	3月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c613-2	29	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c614-1	1972年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c614-1	12月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c622-3	1974年	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
c622-3	3月	phon	2026-09-24 ⑤a' 音素の網（qa_out/phon_verify.py）で数の語に食い違いなし＝耳ではない
