cid	mm:ss	start	sec	chapter
pr01	0:00.0	0.00	10.28	冒頭
pr02	0:10.3	10.28	8.93	冒頭
pr03	0:19.2	19.21	9.73	冒頭
pr04	0:28.9	28.94	11.25	冒頭
pr05	0:40.2	40.19	11.49	冒頭
pr06	0:51.7	51.68	11.88	冒頭
pr07	1:03.6	63.56	9.58	冒頭
pr08	1:13.1	73.14	8.44	冒頭
pr09	1:21.6	81.58	9.65	冒頭
pr10	1:31.2	91.23	9.12	冒頭
pr11	1:40.4	100.35	12.29	冒頭
pr12	1:52.6	112.64	8.53	冒頭
c101	2:01.2	121.17	9.57	1/9 その朝、4つの便が飛び立った
c102	2:10.7	130.74	7.33	1/9 その朝、4つの便が飛び立った
c103	2:18.1	138.07	8.13	1/9 その朝、4つの便が飛び立った
c104	2:26.2	146.20	9.09	1/9 その朝、4つの便が飛び立った
c105	2:35.3	155.29	12.50	1/9 その朝、4つの便が飛び立った
c106	2:47.8	167.79	7.80	1/9 その朝、4つの便が飛び立った
c107	2:55.6	175.59	9.23	1/9 その朝、4つの便が飛び立った
c108	3:04.8	184.82	9.71	1/9 その朝、4つの便が飛び立った
c109	3:14.5	194.53	10.13	1/9 その朝、4つの便が飛び立った
c110	3:24.7	204.66	13.97	1/9 その朝、4つの便が飛び立った
c111	3:38.6	218.63	8.05	1/9 その朝、4つの便が飛び立った
c112	3:46.7	226.68	8.85	1/9 その朝、4つの便が飛び立った
c113	3:55.5	235.53	8.76	1/9 その朝、4つの便が飛び立った
c114	4:04.3	244.29	11.89	1/9 その朝、4つの便が飛び立った
c115	4:16.2	256.18	9.56	1/9 その朝、4つの便が飛び立った
c116	4:25.7	265.74	9.30	1/9 その朝、4つの便が飛び立った
c117	4:35.0	275.04	10.04	1/9 その朝、4つの便が飛び立った
c118	4:45.1	285.08	11.72	1/9 その朝、4つの便が飛び立った
c119	4:56.8	296.80	11.15	1/9 その朝、4つの便が飛び立った
c120	5:08.0	307.95	11.11	1/9 その朝、4つの便が飛び立った
c121	5:19.1	319.06	14.51	1/9 その朝、4つの便が飛び立った
c122	5:33.6	333.57	13.49	1/9 その朝、4つの便が飛び立った
c123	5:47.1	347.06	8.77	1/9 その朝、4つの便が飛び立った
c124	5:55.8	355.83	11.49	1/9 その朝、4つの便が飛び立った
c201	6:07.3	367.32	10.29	2/9 1機目が消える
c202	6:17.6	377.61	9.17	2/9 1機目が消える
c203	6:26.8	386.78	11.41	2/9 1機目が消える
c204	6:38.2	398.19	8.53	2/9 1機目が消える
c205	6:46.7	406.72	9.17	2/9 1機目が消える
c206	6:55.9	415.89	9.89	2/9 1機目が消える
c207	7:05.8	425.78	9.08	2/9 1機目が消える
c208	7:14.9	434.86	11.73	2/9 1機目が消える
c209	7:26.6	446.59	11.73	2/9 1機目が消える
c210	7:38.3	458.32	9.01	2/9 1機目が消える
c211	7:47.3	467.33	10.05	2/9 1機目が消える
c212	7:57.4	477.38	8.85	2/9 1機目が消える
c213	8:06.2	486.23	8.60	2/9 1機目が消える
c214	8:14.8	494.83	9.65	2/9 1機目が消える
c215	8:24.5	504.48	9.73	2/9 1機目が消える
c216	8:34.2	514.21	13.89	2/9 1機目が消える
c217	8:48.1	528.10	13.09	2/9 1機目が消える
c218	9:01.2	541.19	8.52	2/9 1機目が消える
c219	9:09.7	549.71	8.77	2/9 1機目が消える
c220	9:18.5	558.48	12.05	2/9 1機目が消える
c221	9:30.5	570.53	12.61	2/9 1機目が消える
c222	9:43.1	583.14	8.67	2/9 1機目が消える
c223	9:51.8	591.81	7.97	2/9 1機目が消える
c224	9:59.8	599.78	9.17	2/9 1機目が消える
c301	10:09.0	608.95	11.53	3/9 「some planes」
c302	10:20.5	620.48	10.68	3/9 「some planes」
c303	10:31.2	631.16	13.65	3/9 「some planes」
c304	10:44.8	644.81	8.20	3/9 「some planes」
c305	10:53.0	653.01	13.38	3/9 「some planes」
c306	11:06.4	666.39	9.41	3/9 「some planes」
c307	11:15.8	675.80	10.37	3/9 「some planes」
c308	11:26.2	686.17	11.81	3/9 「some planes」
c309	11:38.0	697.98	9.12	3/9 「some planes」
c310	11:47.1	707.10	8.66	3/9 「some planes」
c311	11:55.8	715.76	8.53	3/9 「some planes」
c312	12:04.3	724.29	7.95	3/9 「some planes」
c313	12:12.2	732.24	7.49	3/9 「some planes」
c314	12:19.7	739.73	7.97	3/9 「some planes」
c315	12:27.7	747.70	10.61	3/9 「some planes」
c316	12:38.3	758.31	8.12	3/9 「some planes」
c317	12:46.4	766.43	9.97	3/9 「some planes」
c318	12:56.4	776.40	8.68	3/9 「some planes」
c319	13:05.1	785.08	14.37	3/9 「some planes」
c320	13:19.4	799.45	8.50	3/9 「some planes」
c321	13:27.9	807.95	11.48	3/9 「some planes」
c322	13:39.4	819.43	12.52	3/9 「some planes」
c401	13:51.9	831.95	9.24	4/9 首都へ向かう機影
c402	14:01.2	841.19	9.41	4/9 首都へ向かう機影
c403	14:10.6	850.60	8.77	4/9 首都へ向かう機影
c404	14:19.4	859.37	10.85	4/9 首都へ向かう機影
c405	14:30.2	870.22	11.63	4/9 首都へ向かう機影
c406	14:41.8	881.85	7.35	4/9 首都へ向かう機影
c407	14:49.2	889.20	12.37	4/9 首都へ向かう機影
c408	15:01.6	901.57	9.34	4/9 首都へ向かう機影
c409	15:10.9	910.91	8.21	4/9 首都へ向かう機影
c410	15:19.1	919.12	8.68	4/9 首都へ向かう機影
c411	15:27.8	927.80	9.17	4/9 首都へ向かう機影
c412	15:37.0	936.97	7.33	4/9 首都へ向かう機影
c413	15:44.3	944.30	9.01	4/9 首都へ向かう機影
c414	15:53.3	953.31	12.69	4/9 首都へ向かう機影
c415	16:06.0	966.00	8.69	4/9 首都へ向かう機影
c416	16:14.7	974.69	10.85	4/9 首都へ向かう機影
c417	16:25.5	985.54	8.43	4/9 首都へ向かう機影
c418	16:34.0	993.97	8.03	4/9 首都へ向かう機影
c419	16:42.0	1002.00	11.25	4/9 首都へ向かう機影
c420	16:53.2	1013.25	10.34	4/9 首都へ向かう機影
c421	17:03.6	1023.59	11.79	4/9 首都へ向かう機影
c422	17:15.4	1035.38	11.72	4/9 首都へ向かう機影
c501	17:27.1	1047.10	8.93	5/9 空を閉じる
c502	17:36.0	1056.03	10.69	5/9 空を閉じる
c503	17:46.7	1066.72	11.39	5/9 空を閉じる
c504	17:58.1	1078.11	8.61	5/9 空を閉じる
c505	18:06.7	1086.72	7.79	5/9 空を閉じる
c506	18:14.5	1094.51	7.33	5/9 空を閉じる
c507	18:21.8	1101.84	8.68	5/9 空を閉じる
c508	18:30.5	1110.52	8.29	5/9 空を閉じる
c509	18:38.8	1118.81	8.69	5/9 空を閉じる
c510	18:47.5	1127.50	9.89	5/9 空を閉じる
c511	18:57.4	1137.39	7.81	5/9 空を閉じる
c512	19:05.2	1145.20	7.17	5/9 空を閉じる
c513	19:12.4	1152.37	7.89	5/9 空を閉じる
c514	19:20.3	1160.26	8.93	5/9 空を閉じる
c515	19:29.2	1169.19	9.65	5/9 空を閉じる
c516	19:38.8	1178.84	6.93	5/9 空を閉じる
c517	19:45.8	1185.77	8.05	5/9 空を閉じる
c518	19:53.8	1193.82	7.49	5/9 空を閉じる
c519	20:01.3	1201.31	9.25	5/9 空を閉じる
c520	20:10.6	1210.56	11.25	5/9 空を閉じる
c601	20:21.8	1221.81	8.82	6/9 最後の1機
c602	20:30.6	1230.63	9.49	6/9 最後の1機
c603	20:40.1	1240.12	9.86	6/9 最後の1機
c604	20:50.0	1249.98	11.86	6/9 最後の1機
c605	21:01.8	1261.84	8.67	6/9 最後の1機
c606	21:10.5	1270.51	8.45	6/9 最後の1機
c607	21:19.0	1278.96	9.38	6/9 最後の1機
c608	21:28.3	1288.34	8.23	6/9 最後の1機
c609	21:36.6	1296.57	14.13	6/9 最後の1機
c610	21:50.7	1310.70	11.73	6/9 最後の1機
c611	22:02.4	1322.43	8.61	6/9 最後の1機
c612	22:11.0	1331.04	11.96	6/9 最後の1機
c613	22:23.0	1343.00	13.31	6/9 最後の1機
c614	22:36.3	1356.31	9.41	6/9 最後の1機
c615	22:45.7	1365.72	8.53	6/9 最後の1機
c616	22:54.3	1374.25	8.77	6/9 最後の1機
c617	23:03.0	1383.02	10.21	6/9 最後の1機
c618	23:13.2	1393.23	11.52	6/9 最後の1機
c619	23:24.8	1404.75	8.53	6/9 最後の1機
c620	23:33.3	1413.28	8.82	6/9 最後の1機
c621	23:42.1	1422.10	9.76	6/9 最後の1機
c622	23:51.9	1431.86	6.93	6/9 最後の1機
c623	23:58.8	1438.79	10.36	6/9 最後の1機
c624	24:09.2	1449.15	13.89	6/9 最後の1機
c701	24:23.0	1463.04	9.48	7/9 届かなかった命令
c702	24:32.5	1472.52	12.61	7/9 届かなかった命令
c703	24:45.1	1485.13	10.61	7/9 届かなかった命令
c704	24:55.7	1495.74	7.89	7/9 届かなかった命令
c705	25:03.6	1503.63	10.61	7/9 届かなかった命令
c706	25:14.2	1514.24	13.07	7/9 届かなかった命令
c707	25:27.3	1527.31	8.37	7/9 届かなかった命令
c708	25:35.7	1535.68	8.20	7/9 届かなかった命令
c709	25:43.9	1543.88	10.13	7/9 届かなかった命令
c710	25:54.0	1554.01	8.92	7/9 届かなかった命令
c711	26:02.9	1562.93	7.80	7/9 届かなかった命令
c712	26:10.7	1570.73	8.85	7/9 届かなかった命令
c713	26:19.6	1579.58	8.85	7/9 届かなかった命令
c714	26:28.4	1588.43	11.77	7/9 届かなかった命令
c715	26:40.2	1600.20	9.27	7/9 届かなかった命令
c716	26:49.5	1609.47	8.61	7/9 届かなかった命令
c717	26:58.1	1618.08	7.49	7/9 届かなかった命令
c718	27:05.6	1625.57	8.37	7/9 届かなかった命令
c719	27:13.9	1633.94	7.57	7/9 届かなかった命令
c720	27:21.5	1641.51	11.01	7/9 届かなかった命令
c801	27:32.5	1652.52	8.29	8/9 記録はどう残ったか
c802	27:40.8	1660.81	13.73	8/9 記録はどう残ったか
c803	27:54.5	1674.54	7.73	8/9 記録はどう残ったか
c804	28:02.3	1682.27	9.49	8/9 記録はどう残ったか
c805	28:11.8	1691.76	10.37	8/9 記録はどう残ったか
c806	28:22.1	1702.13	7.57	8/9 記録はどう残ったか
c807	28:29.7	1709.70	9.41	8/9 記録はどう残ったか
c808	28:39.1	1719.11	11.32	8/9 記録はどう残ったか
c809	28:50.4	1730.43	7.25	8/9 記録はどう残ったか
c810	28:57.7	1737.68	7.85	8/9 記録はどう残ったか
c811	29:05.5	1745.53	11.09	8/9 記録はどう残ったか
c812	29:16.6	1756.62	9.08	8/9 記録はどう残ったか
c813	29:25.7	1765.70	8.33	8/9 記録はどう残ったか
c814	29:34.0	1774.03	9.00	8/9 記録はどう残ったか
c815	29:43.0	1783.03	9.00	8/9 記録はどう残ったか
c816	29:52.0	1792.03	8.13	8/9 記録はどう残ったか
c817	30:00.2	1800.16	8.13	8/9 記録はどう残ったか
c818	30:08.3	1808.29	10.77	8/9 記録はどう残ったか
c901	30:19.1	1819.06	9.56	9/9 空はどう変わったか
c902	30:28.6	1828.62	8.29	9/9 空はどう変わったか
c903	30:36.9	1836.91	10.29	9/9 空はどう変わったか
c904	30:47.2	1847.20	8.04	9/9 空はどう変わったか
c905	30:55.2	1855.24	7.45	9/9 空はどう変わったか
c906	31:02.7	1862.69	8.19	9/9 空はどう変わったか
c907	31:10.9	1870.88	9.41	9/9 空はどう変わったか
c908	31:20.3	1880.29	8.73	9/9 空はどう変わったか
c909	31:29.0	1889.02	10.15	9/9 空はどう変わったか
c910	31:39.2	1899.17	11.96	9/9 空はどう変わったか
ep01	31:51.1	1911.13	7.84	締め
ep02	31:59.0	1918.97	11.35	締め
ep03	32:10.3	1930.32	9.63	締め
ep04	32:19.9	1939.95	9.57	締め
ep05	32:29.5	1949.52	8.69	締め
ep06	32:38.2	1958.21	8.10	締め
