欄                          通った     時点も合う  時点  中身
🔴cabin_phone                0         0  any   客室の座席にある電話（2001年以前）
🔴artcc_screen_pre           0         0  pre   航空路管制センターの画面（2001年当時）
🔴artcc_screen2              0         0  pre   管制卓の画面（2001年当時）
🔴boston_artcc_ext           0         0  any   ボストンの航空路管制センター（外観）
🔴indy_artcc                 0         0  any   インディアナポリスの管制センター
🔴cleveland_artcc            0         0  any   クリーブランドの管制センター
🔴atcscc                     0         0  any   連邦航空局コマンドセンター（外観）
🔴apron_day                  0         0  day   駐機場に降りた旅客機（2001-09-11）
🔴stopped_day                0         0  day   空港で止まった旅客機（2001-09-11）
🔴library_reports            0         0  any   図書館に並ぶ報告書
🔴atc_tape                   0         0  any   管制施設の録音装置（2001年当時）
🔴artcc_now                  0         0  post  今の航空路管制センター
⚠️b757                       1         0  pre   ボーイング757（2001年以前）
⚠️cockpit_door_pre           1         0  pre   旅客機の操縦室の扉（2001年以前）
⚠️b767                       2         0  pre   ボーイング767（2001年以前）
⚠️cockpit_pre                2         0  pre   旅客機の操縦室（2001年以前）
⚠️controller_pre             4         0  pre   管制卓に着く管制官（2001年当時）
⚠️cockpit_door_hard          4         0  post  強化された操縦室の扉
⚠️dulles                     5         0  pre   ワシントン・ダレス空港（2001年以前）
⚠️newark_757                 5         0  pre   ニューアーク空港を離陸する757
⚠️fids_pre                  12         0  pre   空港の出発案内板（2001年以前）
⚠️radar_scope_pre           14         0  pre   管制卓のレーダー画面（2001年当時）
⚠️dulles_rwy                15         0  pre   ダレス空港の滑走路
⚠️stranded_day              19         0  day   空港で足止めされた人たち（2001-09-11）
⚠️reagan                    24         0  pre   レーガン・ナショナル空港（2001年以前）
⚠️pentagon_west_day         24         0  day   ペンタゴン西側（当日・遠景）
⚠️pentagon_court_pre        35         0  pre   ペンタゴンの中庭（2001年以前）
  logan                      1         1  pre   ボストン・ローガン空港（2001年以前）
  window_sky                 1         1  any   飛行機の窓から見た空
  aoc_pre                    1         1  any   航空会社の運航管理室（2001年以前）
  pentagon_aerial_pre        1         1  pre   ペンタゴンの空撮（2001年以前）
  f15_alert                  1         1  any   待機中のF-15（オーティス基地）
  lobby_pre                 24         1  pre   2001年以前の空港ロビー
  security_pre              24         1  pre   2001年以前の保安検査場
  logan_takeoff             64         1  pre   ローガン空港を離陸する旅客機
  lobby_now                  2         2  post  今の空港の出発ロビー
  logan_apron                4         2  pre   ローガン空港の駐機場
  cabin_pre                 24         2  pre   旅客機の客室（2001年以前）
  fighter_dc                 3         3  any   首都上空を飛ぶ戦闘機
  wtc_south                 22         3  pre   ツインタワーの南棟（2001年以前）
  commute_pre               24         3  pre   朝の通勤（2001年以前のマンハッタン）
  apron_lined_day           24         4  day   駐機場に並んだ旅客機（2001-09-11）
  f15_takeoff                6         6  any   離陸するF-15
  b767_cruise               17         7  any   巡航するボーイング767
  gate_pre                  24         7  pre   空港の搭乗口（2001年以前）
  pentagon_ext_pre          24         8  pre   ペンタゴン（外観・2001年以前）
  airliner_cruise           10        10  any   巡航する旅客機
  recorder                  11        11  any   記録装置（ブラックボックス）
  refuel                    12        12  any   給油中の旅客機（2001年以前）
  shanksville_day           24        12  day   シャンクスビルの野原（当日・遠景）
  clear_sky                 13        13  any   よく晴れた空
  wtc_far                   24        13  pre   世界貿易センター（遠景・2001年以前）
  b767_takeoff              15        15  any   離陸するボーイング767
  fire_trucks_day           24        15  day   現場へ向かう消防車（2001-09-11）
  security_now              16        16  post  今の空港の保安検査場
  wtc_base                  24        16  pre   世界貿易センターの足元（2001年以前）
  window_cruise             17        17  any   巡航する旅客機の窓
  wtc_twin                  24        19  pre   ツインタワー（2001年以前）
  wtc_under                 24        21  pre   世界貿易センターの地下（2001年以前）
  manhattan_pre             24        22  pre   2001年以前のローワーマンハッタン（朝の街並み）
  base_rwy                  23        23  any   基地の滑走路（2001年以前）
  artcc_alt                 24        24  any   管制卓の画面（高度の表示）
  artcc_seat                24        24  any   航空路管制センターの席
  wtc_smoke_day             24        24  day   北棟から上がる煙（遠景・2001-09-11）
  report_cover              24        24  any   委員会報告の表紙
  report_page               24        24  any   委員会報告のページ
  hearing                   24        24  any   委員会の公聴会（2003〜2004年）
  nist_report               24        24  any   建物側の報告書（NIST NCSTAR 1）
  logbook                   24        24  any   当直の記録簿（書式の見本）
  b757_takeoff              35        24  any   離陸するボーイング757
  f16_alert                 35        24  any   待機中のF-16（ラングレー基地）
  andrews                   50        24  any   アンドルーズ基地（2001年以前）
  f16_takeoff               54        24  any   離陸するF-16

■ 欄 73 ／ 候補0の欄 12
