欄                          通った     時点も合う  時点  中身
🔴boston_artcc_ext           0         0  any   ボストンの航空路管制センター（外観）
🔴indy_artcc                 0         0  any   インディアナポリスの管制センター
🔴cleveland_artcc            0         0  any   クリーブランドの管制センター
🔴atcscc                     0         0  any   連邦航空局コマンドセンター（外観）
⚠️cockpit_door_pre           2         0  pre   旅客機の操縦室の扉（2001年以前）
⚠️newark_757                 5         0  pre   ニューアーク空港を離陸する757
⚠️stranded_day              27         0  day   空港で足止めされた人たち（2001-09-11）
⚠️fids_pre                  40         0  pre   空港の出発案内板（2001年以前）
⚠️reagan                    40         0  pre   レーガン・ナショナル空港（2001年以前）
⚠️b767                      40         0  pre   ボーイング767（2001年以前）
⚠️b757                      40         0  pre   ボーイング757（2001年以前）
⚠️pentagon_court_pre        40         0  pre   ペンタゴンの中庭（2001年以前）
  dulles_rwy                20         1  pre   ダレス空港の滑走路
  security_pre              33         1  pre   2001年以前の保安検査場
  lobby_pre                 40         1  pre   2001年以前の空港ロビー
  radar_scope_pre           26         2  pre   管制卓のレーダー画面（2001年当時）
  cabin_pre                 40         2  pre   旅客機の客室（2001年以前）
  cockpit_pre                6         3  pre   旅客機の操縦室（2001年以前）
  wtc_south                 22         3  pre   ツインタワーの南棟（2001年以前）
  commute_pre               25         3  pre   朝の通勤（2001年以前のマンハッタン）
  logan_takeoff             40         3  pre   ローガン空港を離陸する旅客機
  fighter_dc                 4         4  any   首都上空を飛ぶ戦闘機
  stopped_day               33         4  day   空港で止まった旅客機（2001-09-11）
  apron_day                 37         4  day   駐機場に降りた旅客機（2001-09-11）
  dulles                    40         4  pre   ワシントン・ダレス空港（2001年以前）
  apron_lined_day           40         4  day   駐機場に並んだ旅客機（2001-09-11）
  controller_pre            40         6  pre   管制卓に着く管制官（2001年当時）
  cockpit_door_hard         16         7  post  強化された操縦室の扉
  pentagon_aerial_pre       25         7  pre   ペンタゴンの空撮（2001年以前）
  gate_pre                  32         7  pre   空港の搭乗口（2001年以前）
  logan                     40         8  pre   ボストン・ローガン空港（2001年以前）
  logan_apron               40         9  pre   ローガン空港の駐機場
  airliner_cruise           10        10  any   巡航する旅客機
  refuel                    13        13  any   給油中の旅客機（2001年以前）
  clear_sky                 13        13  any   よく晴れた空
  shanksville_day           26        13  day   シャンクスビルの野原（当日・遠景）
  b767_takeoff              15        15  any   離陸するボーイング767
  fire_trucks_day           30        17  day   現場へ向かう消防車（2001-09-11）
  pentagon_ext_pre          40        17  pre   ペンタゴン（外観・2001年以前）
  wtc_base                  26        18  pre   世界貿易センターの足元（2001年以前）
  base_rwy                  23        23  any   基地の滑走路（2001年以前）
  report_page               24        24  any   委員会報告のページ
  artcc_screen2             26        24  pre   管制卓の画面（2001年当時）
  b757_takeoff              25        25  any   離陸するボーイング757
  nist_report               25        25  any   建物側の報告書（NIST NCSTAR 1）
  artcc_now                 25        25  post  今の航空路管制センター
  artcc_screen_pre          35        25  pre   航空路管制センターの画面（2001年当時）
  report_cover              28        26  any   委員会報告の表紙
  wtc_under                 40        27  pre   世界貿易センターの地下（2001年以前）
  manhattan_pre             40        30  pre   2001年以前のローワーマンハッタン（朝の街並み）
  wtc_far                   40        31  pre   世界貿易センター（遠景・2001年以前）
  logbook                   40        32  any   当直の記録簿（書式の見本）
  f15_takeoff               33        33  any   離陸するF-15
  wtc_twin                  39        33  pre   ツインタワー（2001年以前）
  wtc_smoke_day             38        34  day   北棟から上がる煙（遠景・2001-09-11）
  atc_tape                  35        35  any   管制施設の録音装置（2001年当時）
  library_reports           37        37  any   図書館に並ぶ報告書
  cabin_phone               38        38  any   客室の座席にある電話（2001年以前）
  b767_cruise               40        40  any   巡航するボーイング767
  window_cruise             40        40  any   巡航する旅客機の窓
  window_sky                40        40  any   飛行機の窓から見た空
  artcc_alt                 40        40  any   管制卓の画面（高度の表示）
  artcc_seat                40        40  any   航空路管制センターの席
  aoc_pre                   40        40  any   航空会社の運航管理室（2001年以前）
  pentagon_west_day         40        40  day   ペンタゴン西側（当日・遠景）
  f15_alert                 40        40  any   待機中のF-15（オーティス基地）
  f16_alert                 40        40  any   待機中のF-16（ラングレー基地）
  f16_takeoff               40        40  any   離陸するF-16
  andrews                   40        40  any   アンドルーズ基地（2001年以前）
  hearing                   40        40  any   委員会の公聴会（2003〜2004年）
  recorder                  40        40  any   記録装置（ブラックボックス）
  security_now              40        40  post  今の空港の保安検査場
  lobby_now                 40        40  post  今の空港の出発ロビー

■ 欄 73 ／ 候補0の欄 4
