クリップ                                              64x36   320x240       変わった画素%  判定
1-AWA-213-Pentagon_more2.mp4                       35.1     38.69         59.48  動いている（12〜30秒）
1-AWA-714-Pentagon_more2.mp4                       35.1     38.71         59.50  動いている（12〜30秒）
1-AWA-716-Pentagon.mp4                              0.0      0.04          0.08  止まっている＝still（5〜68秒）
2-AWA-716-Pittsburgh.mp4                            0.0      0.02          0.04  止まっている＝still（5〜73秒）
3-AWA-716-WTC-Combined.mp4                          0.0      0.02          0.05  止まっている＝still（5〜66秒）
3-AWA-716-WTC1.mp4                                  0.0      0.03          0.03  止まっている＝still（5〜71秒）
4-AWA-716-WTC-Combined.mp4                          0.0      0.02          0.05  止まっている＝still（5〜66秒）
4-AWA-716-WTC2.mp4                                  0.0      0.01          0.02  止まっている＝still（5〜81秒）
5-AWA-213-new_overview2.mp4                         0.3      0.66          0.35  わずかに動く（5〜87秒）
5-AWA-213-ny_best.mp4                              31.3     39.73         55.47  動いている（0〜22秒）
5-AWA-213-ny_best.mpg                              31.9     40.96         57.08  動いている（0〜22秒）
5-AWA-714-new_overview2.mp4                         0.3      0.65          0.35  わずかに動く（5〜87秒）
5-AWA-714-ny_best.mp4                              32.0     40.05         56.17  動いている（5〜26秒）
5-AWA-716-All-4-AC.mp4                              0.1      0.06          0.09  止まっている＝still（5〜70秒）
5-AWA-716-C130-observer.mp4                         0.1      0.10          0.11  止まっている＝still（5〜58秒）
5-AWA-852-landing-spacing.mp4                       0.3      0.27          0.50  わずかに動く（0〜36秒）
5-AWA-852-terrain-and-airspace.mp4                 20.7     20.68         40.59  動いている（0〜12秒）
5-AWA-852-turning-the-boat-static.mp4               0.2      0.25          0.51  わずかに動く（0〜51秒）
5-AWA-852-turning-the-boat.mp4                      0.3      0.35          0.60  わずかに動く（0〜61秒）
5-ZID-819-USA-System-Shutdown-NS-NF-atlantic        0.2      0.58          1.22  わずかに動く（0〜49秒）
5-ZID-819-USA-System-Shutdown-fr20-spd-400.a        0.1      0.13          0.16  止まっている＝still（0〜54秒）
5-ZID-819-USA-System-Startup-fr20-spd-1600.a        0.1      0.23          0.22  止まっている＝still（0〜41秒）
