pr10-2   [コ→ド]
   台: ここでも、その線は越えない。
   聞: どこでもその線は越えない。
c103-3   [—→ア]
   台: 打ち上げを担う、固体ロケットブースタが2本。
   聞: 打ち上げを担う固体ロケットブースターが二本。
c109-1   [オオ→タイビ／ハ→ガ]
   台: オービタの先と外部タンクは、2本の支柱でつないである。
   聞: 大尾びたの先と外部タンクが二本の支柱でつないである。
c111-2   [キョオ→リュウ]
   台: 強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
   聞: 硫化炭素炭素という材料の略で、片方の翼に二十二枚が並ぶ。
c113-2   [ネ→ナタイ]
   台: その値は0.008ジュール。1円玉を80センチ落とすほどの力。
   聞: その名帯は0.08ジュール。一円玉を八十センチ落とすほどの力。
c201-1   [—→シチガ／キ→—]
   台: この飛行は、もともと2002年7月19日に上がるはずだった。
   聞: この飛行はもともと二千二年七月十九日に上がるはずだった。
c201-3   [—→イチガ／キ→—]
   台: 宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
   聞: 宇宙ステーションの便が先に回され、上がったのは半年後の二〇〇三年一月十六日。
c204-1   [—→ア]
   台: 午前10時39分、固体ロケットブースタに火が入った。
   聞: 午前十時三十九分、固体ロケットブースターに火が入った。
c206-2   [コオ→ソク／—→テン]
   台: 高度は約20キロ。速さは音の2.46倍だった。
   聞: 速度は約二十キロ、速さは音の二点四六倍だった。
c208-2   [マ→メ]
   台: RCCの板でいえば、5枚目から9枚目のあたり。
   聞: LCCの板で言えば五枚目から九枚目の辺り
c210-1   [—→ト]
   台: ぶつかったときの速さの差は、時速約670〜920キロ。
   聞: ぶつかった時の速さの差は時速約六百七十と九百二十キロ。
c212-2   [リ→—]
   台: 離陸から追い続ける役目は、そのうち5か所。
   聞: 陸から追い続ける役目はそのうち五箇所
c214-2   [ア→マ／ッ→—]
   台: 上がっていくシャトルを追う力は、年々落ちていったとみられる。
   聞: 曲がっていくシャトルを追う力は年々落ちていたと見られる。
c220-2   [ネン→トシ／センチ→—]
   台: 最初は1983年。約48×30センチが欠けている。
   聞: 最初は年、約四十八かける三十cmが欠けている。
c306-1   [ンダ→ム]
   台: 測り直して、最も確からしい値まで絞り込んだ。
   聞: 測り直して最も確からしい値まで絞り込む。
c307-1   [ガ→エ]
   台: 答えに幅があるのは、カメラのコマが遅く、画が粗いからである。
   聞: 答えに幅があるのはカメラのコマが遅く、絵が粗いからである。
c307-2   [ハヘン→ウマ／センチ→—]
   台: 破片の位置が51センチずれるだけで、速さの答えは大きく動く。
   聞: 馬 pen の位置が五十一 cm ずれるだけで速さの答えは大きく動く。
c309-1   [ッ→—]
   台: 破片は、1秒に約18回まわりながら落ちていった。
   聞: 破片は一秒に約十八回回りながら落ちていた。
c312-1   [ア→ワ]
   台: 当たった範囲は、たたみ1枚ほどの広さまで絞れた。
   聞: 渡った範囲は畳一枚ほどの広さまで絞れた。
c316-1   [モリ→—]
   台: 飛行中に出した速さの見積りは、時速603から1,052キロ。
   聞: 飛行中に出した速さの蜜は時速六百三から一千五十二キロ。
c316-3   [ツモ→ズ]
   台: 体積の見積りも、ほぼ同じところに落ち着いていた。
   聞: 堆積の水理もほぼ同じところに落ち着いていた。
c403-1   [ツミニ→—]
   台: 積み荷の実験をまとめる責任者は、マイケル・アンダーソン、43歳。
   聞: SM2の実験をまとめる責任者はマイケルアンダーソン、四十三歳。
c405-2   [ショオ→アキラ]
   台: 任務の記章には、イスラエルの旗も描かれていた。
   聞: 任務の機章にはイスラエルの旗も描かれていた。
c411-2   [モク→ダマ]
   台: 13日目には、過去の事故で亡くなった人たちに黙とうをささげている。
   聞: 十三日目には過去の事故で亡くなった人たちにダマトウを捧げている。
c415-2   [ダ→カ／ツザ→ッタ]
   台: 断熱材の衝突は、16日間の暮らしに何の影響も与えなかった。
   聞: 環熱帯の衝突は十六日間の暮らしに何の影響も与えなかった。
c419-1   [—→ニガ／キ→—]
   台: 翌朝は2月1日。帰る日である。
   聞: 翌朝は二月一日、帰る日である。
c420-1   [ペエ→ヤ／—→ナ／—→イチガ／キ→—]
   台: 追悼の頁に載っている写真は、1月26日にこの機体から撮ったものである。
   聞: 追悼のやじなに載っている写真は、 一月二十六日にこの機体から撮ったものである。
c420-2   [ル→タ]
   台: 半分ほど照らされた月が、暗がりに浮かんでいる。
   聞: 半分ほど照らされた月が暗がりに浮かんでいた。
c502-1   [ヘ→ケ]
   台: 飛行2日目、破片の影響を調べる集まりが作られた。
   聞: 飛行二日目、派遣の影響を調べる集まりが作られた。
c503-2   [ダ→カ／ガ→ナ]
   台: 誰が責任者なのかが、決まらないままになった。
   聞: 彼が責任者なのかな？決まらないままになった。
c503-3   [—→イチガ／キ→—]
   台: 与えられた指示は「1月24日までに結果を出せ」だけである。
   聞: 与えられた指示は一月二十四日までに結果を出せだけである。
c505-3   [ャ→—]
   台: 飛行6日目、請負会社の管理者から。同じ日、ロッチャ技師から。
   聞: 飛行六日目、請負会社の管理者から同じ日ロッチ技師から
c506-2   [トオタ→フンダ]
   台: 止めた側は、中身ではなく、手続きを問うた。
   聞: 止めた側は中身ではなく手続きを踏んだ。
c511-1   [ケ→リ]
   台: 計算のほうは、写真を求める前から進んでいた。
   聞: 理恵さんの方は写真を求める前から進んでいた。
c511-2   [クレエタア→—]
   台: チームが使ったのは、クレーターという計算の道具だった。
   聞: チームが使ったのはCraterという計算の道具だった。
c516-1   [—→イ]
   台: 式が試された範囲を、どれだけはみ出していたか。
   聞: 意識が試された範囲をどれだけはみ出していたか。
c518-1   [レ→リエ]
   台: それでも、クレーターは答えを出した。
   聞: それでもクリエイターは答えを出した
c518-2   [タイ→ナカダチ]
   台: 耐熱タイルより深く削る、という答えである。
   聞: 媒熱タイルより深く削るという答えである。
c519-2   [レ→リエ]
   台: 一つ。クレーターは大げさに出る道具だという経験。
   聞: 一つ、クリエイターは大げさに出る道具だという経験。
c520-2   [ワ→ヤブ]
   台: 15度を超えて当たれば、RCCは破れると出た。
   聞: 十五度を超えて当たればRCCは敗れると出た。
c520-3   [—→モ]
   台: 15通りの経路のうち1通りだけが、21度で当たると出た。
   聞: 十も通りの経路のうち、一通りだけが二十一度で当たると出た。
c526-2   [シキケ→フヒニンセ／トオ→ド]
   台: 指揮系統を飛び越したくないという理由で、送らなかったメールである。
   聞: 不否認制度を飛び越したくないという理由で送らなかったメールである。
c527-1   [—→イチガ／キ→—]
   台: 1月24日の会議の議事録に、破片の話は一行も無い。
   聞: 一月二十四日の会議の議事録に破片の話は一行もない。
c607-1   [—→サンガ／キ→—]
   台: 本来の打ち上げは3月1日で、41日先だった。
   聞: 本来の打ち上げは三月一日で四十一日先だった。
c607-2   [—→ニガ／キ→—]
   台: それを2月10日まで、つまり22日に詰める段取りになる。
   聞: それを二月十日まで、つまり二十二日に詰める段取りになる。
c608-1   [—→ニガ／キ→—]
   台: 24時間3交代、週7日で働けば、2月10日までに準備は整う。
   聞: 二十四時間三交代、週七日で働けば二月十日までに準備は整う。
c609-1   [—→ドッチ]
   台: 打ち上げの支度と秒読みが滞りなく進めば、
   聞: 打ち上げの支度と秒読みが滞りなく進めば、どっち
c609-2   [—→ニガ／キ→—]
   台: 2月10日から15日までの5日間が、合流できる窓になる。
   聞: 二月十日から十五日までの五日間が合流できる窓になる。
c610-2   [ウ→ヲ]
   台: 宇宙服を着た7人が、船外活動で乗り移る。
   聞: 宇宙服を着た七人が船外活動で海苔を釣る。
c615-1   [フ→タン／ショオヘン→コガタナ]
   台: 塞ぐ材料は、重い金属の工具、チタンの小片。
   聞: 探査具材料は重い金属の工具、チタンの小刀
c617-2   [—→ウワサ]
   台: NASAは確かめられなかった。
   聞: 噂は確かめられなかった。
c618-1   [カエセ→キス]
