✓ pad_rss                  1047 KB  KSC-03pd0070
✓ pad_stack                 919 KB  KSC-03pd0076
✓ et_orange                 959 KB  KSC-03pd0071
✓ et_surface                802 KB  KSC-03pd0074
✓ et_top                    945 KB  KSC-03pd0075
✓ launch_wide              1184 KB  KSC-03pd0134
✓ launch_flames             819 KB  KSC-03pd0135
✓ launch_sky               3961 KB  0300307
✓ strike_wide               216 KB  KSC-03pd0242
✓ strike_near               456 KB  KSC-03pd0243
✓ crew_portrait             217 KB  HSF-photo-jsc2002e30459
✓ crew_arrival              837 KB  KSC-03pd0058
✓ crew_astrovan            2292 KB  KSC-03pd0110
✓ suit_chawla              1181 KB  KSC-03pp0144
✓ suit_clark               1166 KB  KSC-03pp0145
✓ orb_chawla               1204 KB  S107E05001
✓ orb_husband              1068 KB  S107E05002
✓ orb_husband_seat         1379 KB  S107E05003
✓ orb_clark_arms           1131 KB  S107E05006
✓ orb_chawla_hab           1364 KB  S107E05010
✓ orb_mccool               1283 KB  S107E05014
✓ orb_chawla_clark         1590 KB  S107E05018
✓ orb_clark_husband        1469 KB  S107E05020
✓ orb_clark_window         1033 KB  S107E05021
✓ orb_brown                1131 KB  S107E05025
✓ orb_mccool_afd           1313 KB  S107E05026
✓ orb_ramon                 611 KB  S107E05029A
✓ orb_anderson             1221 KB  S107E05033
✓ orb_crew7                 309 KB  HSF-photo-sts107-735-032
✓ orb_anderson_read         430 KB  HSF-photo-sts107-301-025
✓ orb_earth                1889 KB  0301002
✓ columbia_orbit            104 KB  HSF-photo-jsc2003e13222
✓ mcc_launch                246 KB  HSF-photo-jsc2003e02609
✓ mcc_feb1                  283 KB  HSF-photo-jsc2003e03368
✓ fd_cain                   189 KB  HSF-photo-jsc2003e02610
✓ capcom                    175 KB  HSF-photo-jsc2003e02600
✓ fd_engelauf               250 KB  HSF-photo-jsc2003e02611
✓ search_line               405 KB  HSF-photo-jsc2003-00151
✓ search_brief              253 KB  HSF-photo-jsc2003-00119
✓ search_forest             327 KB  HSF-photo-jsc2003-00127
✓ search_queue              246 KB  HSF-photo-jsc2003e29065
✓ search_map                312 KB  HSF-photo-jsc2003e28823
✓ search_howell             318 KB  HSF-photo-jsc2003e26420
✓ evidence_corsicana        307 KB  HSF-photo-jsc2003e28846
✓ engine_dig                629 KB  HSF-photo-jsc2003e28147
✓ engine_found              572 KB  HSF-photo-jsc2003e28148
✓ barksdale                 338 KB  HSF-photo-jsc2003e14383
✓ hangar_floor             1586 KB  KSC-03pd1070
✓ hangar_grid              1671 KB  KSC-03pd0875
✓ hangar_caib              5923 KB  KSC-03pd0403
✓ hangar_exam              5457 KB  KSC-03pd0407
✓ le_fixture               1506 KB  KSC-03pd1157
✓ le_fixture2              1731 KB  KSC-03pd1156
✓ debris_truck             2486 KB  KSC-03pd1401
✓ test_panel                188 KB  HSF-photo-jsc2003e40558
✓ test_panel2               280 KB  HSF-photo-jsc2003e40593
✓ test_hole                 176 KB  HSF-photo-jsc2003e40715_nr
✓ caib_hearing              977 KB  KSC-03pd0831
✓ caib_gehman               911 KB  KSC-03pd0836
✓ report_copy               271 KB  HSF-photo-jsc2003e55050
✓ report_copy2              242 KB  HSF-photo-jsc2003e55049
✓ report_gehman             231 KB  HSF-photo-jsc2003e55047
✓ report_mail              7667 KB  KSC-03pd3115
✓ ham_caib                  137 KB  HSF-photo-jsc2003e09152
✓ dittemore                 248 KB  HSF-photo-jsc2003e31694
✓ oex_recorder              337 KB  HSF-photo-s88-44993
✓ slf_landing               121 KB  HSF-photo-sts109-s-013
✓ slf_approach              342 KB  HSF-photo-sts109-s-016
✓ columbia_middeck          242 KB  HSF-photo-s109e6032
✓ cargo_tool                273 KB  HSF-photo-s109e5386
✓ atlantis_nose             987 KB  KSC-03pd0369
✓ atlantis_stack            838 KB  KSC-03pd0372
✓ recovery_team            1067 KB  KSC-03pd0270
✓ news_center              1048 KB  KSC-03pd0252

落とした 74 ／ すでに在る 0 ／ 失敗 0
