# ④' の直し。cid<TAB>対象<TAB>照合する頭<TAB>新しい本文
# 対象 1|2|3=置換 / PIC / SRC / +2=2行目のあとに足す / -2=2行目を消す
# ⚠️ 1つでも頭が食い違えば1件も当てずに止まる（fail closed）
#
# --- E-6 断熱材の初出に噛み砕きが無い（冒頭18秒） ---
pr05	2	その81.7秒後、	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
# --- E-7 再突入の初出に噛み砕きが無い ---
c112	1	再突入のとき、	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。
# --- E-8 耐熱タイルとRCCの別が本文で言われていない ---
c117	2	胴体の下を守る	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
# --- E-2 「2001年1月11日」「13回」はCAIBに無い。p28の中身へ ---
c201	1	この飛行は、もともと	この飛行は、もともと2002年7月19日に上がるはずだった。
c201	2	2年のあいだに	その1か月前、主エンジンの配管にひびが見つかり、全機が4か月止まる。
c201	+2	2年のあいだに	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
# --- E-5 「逸した機会」が説明なしで1回だけ。CAIBは8つ数えている ---
c218	2	それは、のちに	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。
# --- 尺を戻すための刈り込み（言い換えの2行を1行に） ---
c315	1	解析の結果は、	解析の結果は、この1枚のコマに集まっている。事故の起点を示す写真である。
c315	-2	この写真が、	（削除）
# --- E-9a c3→c4 の継ぎ目に橋が無い ---
c401	1	軌道の上には、	ここでいったん、軌道の上へ目を移す。地上の話は、そのあとに戻る。
c401	2	名前を挙げておく。	16日のあいだ、7人がそこで何をしていたのか。まず名前を挙げておく。
# --- E-18 メールに添付されていたとは原文に無い ---
c413	1	メールには、	同じころ、衝突の様子を写した15秒ほどの映像も送られている。
# --- E-10 橋が3重。c501が同じ仕事をしている ---
c419	-3	だがその前に、	（削除）
# --- E-1 🔴🔴 CAIB p77 と正面から食い違う。p38 の事実へ差し替え ---
c705	1	機内の記録映像が	このとき7人は、翼に穴が開いているとは知らない。
c705	2	そこまでの7人は、	地上の管制も、いつもと同じ再突入として見ていた。
c705	PIC	実写 飛行中の記録映像	実写 再突入中の機体（mct・4分割の再現）
c705	SRC	CAIB p38	CAIB p11・p38
# --- 飛行主任の噛み砕きが無い ---
c713	1	班をまとめる飛行主任が	班をまとめ、最後の判断をする飛行主任が「全部が同時に消えたのか」と聞く。
# --- 尺を戻すための刈り込み（c723とほぼ同内容） ---
c722	1	返ってきたのは、	返ってきたのは、短い返事だった。そして、そこで途切れる。
c722	-2	そして、そこで	（削除）
# --- E-5 マッハが1回だけ・噛み砕き無し。音の何倍かに揃える ---
c725	2	電波が切れた時点で、	電波が切れた時点で、高さ約61キロ、音の18倍の速さだった。
# --- E-15 nearly を「約」にしていた ---
c729	3	時速約1万9千キロ	時速1万9千キロ近くで大気に突っ込んだ破片が出した音だった。
# --- E-11 「一朝で」は通じにくい。原文は in an entire morning ---
c808	2	一朝で百メートル	朝いっぱいかけて、百メートルほどしか進めない藪もあった。
# --- E-14 more than を「約」にしていた ---
c810	1	湖の底も探している。	湖の底も探している。ソナーで80平方キロメートルを超えて調べた。
# --- E-9b c8→c9 の継ぎ目に橋が無い ＋ E-16 more than 120 ---
c901	1	委員会は、電波が	拾い集めた破片は、答え合わせの材料になった。
c901	2	13人の委員と、	委員会は電波が途切れた2時間以内に立ち上がり、7か月かけて調べている。
c901	+2	13人の委員と、	13人の委員と、120人を超える調査員が加わった。
# --- E-3 実物の翼→飛んだパネル / 41センチ→縦横40センチ / 7月は原文に無い ---
# --- E-4 飛行2日目に離れた物の正体をここで回収する（p63・p64・p83） ---
c907	1	2003年7月、	委員会は、アトランティス号で26回飛んだ本物のパネルに断熱材を撃ち込んだ。
c907	2	8枚目のパネルに、	8枚目のパネルに、縦横40センチほどの穴が開いた。
c907	+2	8枚目のパネルに、	割れた破片は翼の中に残る。飛行2日目に離れた物も、これだった可能性が高い。
c907	SRC	CAIB p78	CAIB p63・p82・p83
