
=== c701-1（キャッシュ） ===
  送信: KLMは、滑走路の端に着いた。そこで、180度向きを変える。
  聞取: KLMは滑走路の端に着いた。そこで度向きを変える。
  1モーラの目安: 0.225秒（この行の助詞 4個の平均）
    KLM  0.099〜 0.799  幅0.700秒  ≒3.1モーラ
    は    0.799〜 1.059  幅0.260秒  ≒1.2モーラ
    滑    1.059〜 1.240  幅0.181秒  ≒0.8モーラ
    走    1.240〜 1.519  幅0.279秒  ≒1.2モーラ
    路    1.519〜 1.639  幅0.120秒  ≒0.5モーラ
    の    1.639〜 1.779  幅0.140秒  ≒0.6モーラ
    端    1.779〜 1.979  幅0.200秒  ≒0.9モーラ
    に    1.979〜 2.139  幅0.160秒  ≒0.7モーラ
    着    2.139〜 2.180  幅0.041秒  ≒0.2モーラ
    い    2.180〜 2.339  幅0.159秒  ≒0.7モーラ
    た    2.339〜 2.399  幅0.060秒  ≒0.3モーラ
    。    2.399〜 2.399  幅0.000秒  ≒0.0モーラ
    そ    2.799〜 2.919  幅0.120秒  ≒0.5モーラ
    こ    2.919〜 3.059  幅0.140秒  ≒0.6モーラ
    で    3.059〜 3.339  幅0.280秒  ≒1.2モーラ
    度    3.339〜 4.279  幅0.940秒  ≒4.2モーラ
    向    4.279〜 4.439  幅0.160秒  ≒0.7モーラ
    き    4.440〜 4.539  幅0.099秒  ≒0.4モーラ
    を    4.539〜 4.739  幅0.200秒  ≒0.9モーラ
    変    4.739〜 4.819  幅0.080秒  ≒0.4モーラ
    え    4.819〜 4.939  幅0.120秒  ≒0.5モーラ
    る    4.940〜 4.980  幅0.040秒  ≒0.2モーラ
    。    4.980〜 4.980  幅0.000秒  ≒0.0モーラ
