cid	占有	最大の穴	下帯の空き	外接の余白	安全域を食う辺
c101	occ 100.0%	hole  0.00%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c103	occ  52.6%	hole  8.80%	band  49.3%	L0 R0 T49 B0	left(0) right(1920) top(49) bottom(1080)
c104	occ  45.4%	hole  9.72%	band  58.3%	L0 R0 T52 B0	left(0) right(1920) bottom(1080)
c106	occ  99.8%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c110	occ  99.7%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c111	occ  49.0%	hole 13.12%	band  50.0%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c112	occ  99.9%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c113	occ 100.0%	hole  0.00%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c201	occ  99.8%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c203	occ  47.5%	hole 12.96%	band  47.9%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c207	occ  50.9%	hole 11.19%	band  52.1%	L0 R0 T49 B0	left(0) right(1920) top(49) bottom(1080)
c208	occ  47.3%	hole 12.96%	band  53.8%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c212	occ  50.7%	hole 12.96%	band  46.2%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c213	occ  99.8%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c214	occ  56.1%	hole 20.83%	band  51.4%	L0 R0 T50 B0	left(0) right(1920) top(50) bottom(1080)
c215	occ  99.8%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c301	occ  99.4%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c303	occ  49.5%	hole 12.35%	band  48.3%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c305	occ  50.8%	hole  9.72%	band  53.8%	L0 R0 T52 B0	left(0) right(1920) bottom(1080)
c311	occ  63.0%	hole  9.72%	band  43.1%	L0 R0 T49 B0	left(0) right(1920) top(49) bottom(1080)
c312	occ  57.0%	hole  9.26%	band  40.3%	L0 R0 T48 B0	left(0) right(1920) top(48) bottom(1080)
c313	occ  60.1%	hole 17.82%	band  41.7%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c314	occ  38.4%	hole 11.11%	band  89.9%	L0 R0 T46 B0	left(0) right(1920) top(46) bottom(1080)
c315	occ  59.0%	hole 13.50%	band  47.6%	L0 R0 T52 B0	left(0) right(1920) bottom(1080)
c316	occ  49.4%	hole 25.93%	band  60.4%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c317	occ  37.1%	hole 14.81%	band  84.7%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
c318	occ  99.8%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
c401	occ  36.4%	hole 14.81%	band  80.6%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
