# 10本目② 目で見た記録（2026-09-20）。○=顔の識別なし・採用候補／△=条件付き（額装のみ・寄らない）／×=不採用
# 出どころ K=公共ヌリ（継承なし）／C=Commons（CC BY-SA 4.0・額装だけ）
出どころ	番号	判定	場面	理由・メモ
K	2301030102	○	合同焼香所（白菊と位牌の列）	人物なし
K	2301030104	○	行方不明者を探す掲示板	ぼかして使う（公共ヌリ第1類型＝手直し可）。顔写真と名前をぼかす（09-20 線の引き直し）
K	2301030105	×	泣き崩れる遺族	顔がはっきり（私人）
K	2301030106	○	瓦礫の上の救助活動（軍・消防）	隊員＝公的な任務の人。顔が見えてよい（09-20 線の引き直し）
K	2301030107	○	重機が並ぶ現場整理の俯瞰	人物は極小
K	2301030108	○	本館1階の売り場（散乱・防護服の数人）	顔は小さく背を向けている
K	2301030109	○	残った建物の断面と瓦礫（縦）	救助隊は極小
K	2301030481	○	市議会議長団の現場訪問	市議会議長団＝公人。ただし場面の使い道は薄い（09-20 線の引き直し）
K	2301030508	○	趙淳市長の現場訪問	趙淳市長＝公人。群衆の顔は小さい（09-20 線の引き直し）
K	52399	○	崩壊前の三豊百貨店（正面・ピンクの外壁）	人物なし・1600x1070
K	52400	○	崩壊前の三豊百貨店（広場越しの遠景）	歩く人は小さく後ろ姿
C	182	○	全景＝残った建物と瓦礫・上空にヘリ	4166x5654。人物は極小。pr/c7の主役
C	183	×	担架で運び出される被害者	被害者の顔・救助隊の顔
C	185	×	瓦礫の上で担架を運ぶ隊員	白い布で覆われた担架を運ぶ中景＝遠景でない（09-20 線の引き直し）
C	186	×	救助された人を運ぶ・報道陣	被害者の顔
C	187	○	消防隊員（手前・顔がはっきり）	消防隊員＝公的な任務の人。顔の近景として使える（09-20 線の引き直し）
C	188	○	重機と多数の隊員（やや俯瞰）	重機と隊員。顔は公的な任務の人（09-20 線の引き直し）
C	189	○	瓦礫の全景（崩れた側面・煙・落ちた看板）	人物は小さい。c7/c8
C	190	△	建物の入口に群がる救助隊と市民	救助隊と市民が混在し私人の顔も見える。額装のまま遠景として（09-20 線の引き直し）
C	191	×	要人の視察（黄色い帽子）	500x297と小さすぎる（顔ではなく解像度が理由）（09-20 線の引き直し）
C	192	○	鉄筋を切断する救助隊	鉄筋を切断する隊員＝公的な任務の人（09-20 線の引き直し）
C	193	○	瓦礫の俯瞰（縦）	隊員は点のように小さい
C	194	○	鉄筋の中で作業する隊員（後ろ姿）	顔は見えない
C	195	○	瓦礫の中の救助作業（俯瞰・「2B」の看板）	隊員は小さい。⚠️日付「'95 7 3」が焼き込まれている
C	196	○	夜の切断作業（火花）	顔は見えない。⚠️日付の焼き込みあり
C	197	×	白い大きな包みを運ぶ隊員	白い包みを扱う中景＝遠景でない（09-20 線の引き直し）
C	198	○	屈んで作業する2人の隊員（後ろ姿）	顔は見えない
C	199	○	救急車と階段の群衆	救急車と群衆。顔は小さい（09-20 線の引き直し）
C	200	×	瓦礫の上・白い布に包まれたもの	白い布に包まれたものが中央＝遠景でない（09-20 線の引き直し）
C	201	○	救急車と整列する警察・軍	警察・軍＝公的な任務の人。救急車の列の絵（09-20 線の引き直し）
C	202	×	青い担架で運び出す	隊員の顔・搬送者
C	203	○	夜・救急車の列（赤色灯）	人物は小さく顔は分からない。c8に良い
C	204	×	担架を運ぶ・群衆	私人の群衆の顔＋色が大きく紫に変色（09-20 線の引き直し）
C	205	×	群衆と救急車	私人の群衆の顔＋色が大きく紫に変色（09-20 線の引き直し）
C	206	×	担架を運ぶ隊員6人	担架を運ぶ近景＝遠景でない（09-20 線の引き直し）
C	207	○	折れた柱（鉄筋がむき出し）と隊員2人（後ろ姿）	🔴c5の柱の実物。顔は見えない
C	208	○	瓦礫の上で作業する1人（後ろ姿・黄ヘルメット）	顔は見えない
C	209	○	残ったピンクの建物と救急車の長い列・クレーン	救急車の列とクレーン。手前は警官＝公的（09-20 線の引き直し）
C	210	○	道路を封鎖する警官隊と群衆（俯瞰）	顔は小さい
C	211	○	俯瞰＝「三豊百貨店」の看板が読める残った建物とクレーン	🔴主役級。人物は極小。1798x1199
C	212	○	俯瞰＝地下まで抜けた穴とピンクの残った壁	🔴主役級。崩壊の規模が分かる。1181x803
C	213	○	瓦礫を手で掘る隊員5〜6人	瓦礫を手で掘る隊員（09-20 線の引き直し）
C	214	○	救急車の長い列（道路・俯瞰気味）	顔は小さい。c8の待機の絵
C	215	○	俯瞰の全景＝崩れた建物と周囲のマンション・SAMPOONGの看板	🔴主役級。人物は極小
C	216	○	瓦礫の斜面で大勢が作業（白ヘルメット多数）	俯瞰で顔は識別しづらい
C	217	○	ボランティア（三星社会奉仕団の幕）・白衣がカートを押す	ボランティア＝救援に従事した人。c8の市民の絵（09-20 線の引き直し）
C	218	○	休憩する消防隊員多数（水を飲む）	休憩する消防隊員（09-20 線の引き直し）
C	219	○	後ろ姿の隊員と斜めに立つ折れた柱・「비상대피소」の看板	顔なし。c5/c8
C	220	○	瓦礫の上で作業する多数（俯瞰）	顔は下向きで小さい
C	221	○	大きな梁・スラブと多数の隊員（俯瞰）	規模が分かる。顔は小さい
C	222	○	黄色い大袋が並ぶ現場	黄色い大袋。遠景で中身は断定できない。⚠️副題で中身を断定しない（09-20 線の引き直し）
C	224	○	巨大なコンクリートの塊と大勢の隊員（俯瞰）	規模が分かる
C	225	○	手前に119救助隊（後ろ姿）・右に顔が見える1人	119救助隊（後ろ姿）と白ヘルメットの1人（09-20 線の引き直し）
C	226	×	黄色い袋を運ぶ隊員	遺体収容の袋とみられる
C	227	○	残った建物と「三豊百貨店 SAMPOONG」の看板・消防車と群衆	🔴看板が読める。群衆は後ろ姿
C	228	○	引きの全景＝崩れた建物と周囲のマンション	人物は極小
C	229	○	瓦礫の中で大勢が作業・重機（俯瞰）	顔は小さい
C	230	○	瓦礫の俯瞰（縦）と隊員の列	顔は小さい
C	231	○	瓦礫の中（埃）と隊員2人（後ろ姿）	顔は見えない
C	232	×	担架で運ばれる人（毛布・脚が見える）と隊員	被害者の身体
C	233	○	煙の中・アーチ状の構造物の下で作業する隊員1人（後ろ姿）	印象的。⚠️日付の焼き込み
C	234	○	煙の中の瓦礫と放水する隊員（小さい）	顔は分からない
C	235	○	瓦礫に放水する隊員（横顔・マスク）	放水する隊員の横顔（09-20 線の引き直し）
C	236	○	俯瞰＝崩れた穴と残ったピンクの壁・周囲の建物	🔴主役級。2031x1429
C	237	×	救出される人（毛布）と隊員・報道陣	被害者の顔
C	238	×	負傷者を背負って運ぶ隊員	負傷者の顔と血
C	239	○	瓦礫の山と隊員（俯瞰・縦）	人物は小さい。1479x2048
# ── ②b（2026-09-20）＝B の154点を全数目視。シートは横長 710px・縦長 510px（2列3行／3列2行）。疑わしい7点は原寸で確かめた ──
C	1	○	俯瞰＝崩れた棟と瓦礫・煙・クレーン	人物は小さい
C	2	○	俯瞰＝瓦礫と大勢の救助隊・「2L」の壁	顔は小さく識別できない
C	3	○	瓦礫の上で作業する救助隊（俯瞰）	隊員＝公的な任務の人。⚠️日付の焼き込み
C	4	○	🔴俯瞰の全景＝「三豊百貨店」の看板の棟＋崩れた棟＋道路の車両	主役級。人物は極小
C	5	○	崩れた断面と鉄筋・湯気	人物なし
C	7	○	折れた柱2本が立つ俯瞰（煙・救助隊）	🔴c5の柱。人物は小さい。⚠️日付の焼き込み
C	8	○	ピンクの梁と瓦礫・隊員1人（後ろ姿）	断面が分かる
C	9	○	重機（ショベル）と現場整理	人物は小さい
C	10	○	折れた柱の寄り（鉄筋むき出し）と「2L」の壁・救助隊	🔴c5。隊員＝公的な任務の人
C	12	○	🔴「삼풍백화점／SAMPOONG DEPARTMENT STORE」の看板＋消防車列＋軍の封鎖	看板が読める。人物は小さい
C	13	○	ビニールで覆った縦坑とはしご・中にオレンジの隊員	珍しい絵。⚠️日付の焼き込み
C	14	×	僧侶と消防幹部の握手（テント）	欄に無い場面＋近景に私人（僧侶）の顔
C	15	×	僧侶が手を挙げる（#014の別カット）	同上
C	17	×	僧侶への取材（記者・マイク・横断幕）	近景に私人の顔が多数
C	18	×	僧侶の列と手前の私人男性（大きい）	近景に私人の顔
C	19	×	指揮テント内（警察の無線・僧侶）	欄に無い場面
C	20	△	炊き出しのテント（食事を配る）	volunteers 欄に合うが私人（ボランティア）の顔が中景。額装のまま遠景で
C	21	×	泥まみれの人を引き上げる（上半身裸）	🔴原寸で確認＝救出される私人の顔と裸の上半身・周囲の顔も識別できる
C	24	○	「119구조대」の背中と狭い隙間を覗く隊員	顔は見えない。⚠️日付の焼き込み
C	25	×	担架の上の人（白い布・赤いしみ・露出）	血と身体の露出
C	26	○	俯瞰の全景＋ヘリコプター	人物は極小
C	27	○	俯瞰の全景（道路の車両が見える別角度）	人物は極小
C	29	○	マスクの救助隊員（近景）と背景の折れた柱	隊員＝公的な任務の人
C	30	×	緑に変色した建物内部・手前に頭のぼけ	色が大きく変色
C	31	○	オレンジの隊員が一列で瓦礫を運ぶ	顔は小さい
C	32	○	クレーンが大袋を吊り上げる（青いコンテナ）	⚠️袋の中身は原本に説明が無い＝副題で断定しない
C	33	○	瓦礫の板を動かす隊員たち（ピンクのスラブの下）	顔は下向き
C	34	△	潰れた内部（ダクト・配管）	何の場所か読み取りにくい
C	35	×	車の上の隊員多数（暗く緑に変色）	色が大きく変色
C	36	○	瓦礫の上の救助隊の群れ（俯瞰・煙）	顔は小さい
C	37	○	煙の中の隊員2人とピンクのスラブ	⚠️日付「'95 7 3」の焼き込み
C	39	○	油圧ショベル（산천개발）と作業員・背景に柱の列	顔は小さい
C	40	○	ショベルと瓦礫・背景に柱が林立	c5の柱の引き
C	41	○	🔴残ったピンクの建物の断面（大きく）	主役級。⚠️日付の焼き込み
C	42	○	同じ建物の別角度・下に作業員の列	⚠️日付の焼き込み
C	43	○	大型クレーン2台と現場・赤いダンプ	人物は小さい
C	44	○	🔴2棟の断面とピンクの連結梁（C棟の表示）	崩れ方が一目で分かる。⚠️日付の焼き込み
C	45	△	木々越しのピンクの建物とクレーン2台	手前の枝が大きく被る
C	46	○	ショベルと瓦礫・背景に柱の林立	c5の柱の引き
C	47	○	手元の作業（オレンジの消防服・軍の迷彩・救助ベスト）	全員が公的な任務の人。顔は下向き
C	48	○	🔴崩れた断面の垂直の絵（階層がはっきり）とピンクの上部	主役級。⚠️日付の焼き込み
C	49	○	はしご車のはしごが壁の上部へ・落ちる瓦礫	「Sign of the Blue」の看板が入る
C	50	×	テントで書類を扱う警察官（近景）	欄に無い場面
C	51	×	夜・青い作業服の一団（後ろ姿）と軍人	暗く場面が読めない
C	52	△	消防幹部2人と整列する消防隊・消防車	近景の顔は公的な任務の人だが使い道が薄い
C	53	×	建物の壁際の混乱（座り込む人々と救助隊）	🔴原寸で確認＝私人の顔が近景〜中景に多数
C	55	○	「三豊百貨店」の看板＋消防車列＋軍（#012の別カット）	看板が読める
