# 14本目 セウォル号 ⑤a：数の台帳（tools/check_aq_yomi.py が読む）。鍵<TAB>読み<TAB>注（下書きの「文の中」と行）
# 作り方＝check_aq_yomi --propose の下書き（pyopenjtalk の読み）を、台本 §6-1 を答えにして Claude が1鍵ずつ読んで直した（2026-09-25）
# 直した鍵＝7人（しちにん→ななにん）・10フィート（じゅう→じゅっ）・1か月／4か月（鍵が数字だけで切れていた）・
#   4月1日（1日だけだと いちにち）・下書きが後ろの漢字まで拾った7鍵（185台積→185台 など）
# ⚠️ 読みは長音を「ー」で書く（音声記号列の書き方）。鍵は台本の字のまま（算用数字は半角）
鍵	語だけの読み	文の中	行
0.9マイル	れーてんきゅーまいる	○	c604-2
1	いち	○	c406-1（表1）
1か月	いっかげつ	手で足した	c307-1（1年1か月）
1.3マイル	いってんさんまいる	○	c611-2
1.7キロ	いってんななきろ	○	c604-2
1.7メートル	いってんななめーとる	○	c402-1
1.9キロ	いってんきゅーきろ	○	c903-1
100	ひゃく	○	c210-2
104人	ひゃくよにん	○	c205-1,ca05-2
105個	ひゃくごこ	○	c503-2
108度	ひゃくはちど	○	c917-1
10フィート	じゅっふぃーと	🔧 §6-1（下書き じゅーふぃーと）	c503-2
10人	じゅーにん	○	c206-3,ca06-2,cb15-1
10分	じゅっぷん	○	c203-1,c603-2,c711-1,cb15-3
10分以内	じゅっぷんいない	○	c812-1,c817-3
10台	じゅーだい	○	c512-1
10年	じゅーねん	○	cb12-1
10時	じゅーじ	○	c107-1,c916-1,c917-1,c918-1
10月	じゅーがつ	○	c304-1,c401-1
10本	じゅっぽん	○	c511-2
11.27メートル	じゅーいってんにーななめーとる	○	c406-1
11.78メートル	じゅーいってんななはちめーとる	○	c406-1
1100トン以上	せんひゃくとんいじょー	○	c505-1
114人	ひゃくじゅーよにん	○	c403-1
119番	ひゃくじゅーきゅーばん	○	c701-1
11時	じゅーいちじ	○	ca08-2
11月	じゅーいちがつ	○	ca02-2,cb01-1
123艇	ひゃくにじゅーさんてー	○	c901-1,c903-1,c906-1,c908-1,c911-1,c912-2 ほか5
12年	じゅーにねん	○	c105-1,c615-3,cb12-1
12日	じゅーににち	○	c401-1,c401-1,cb01-1
12日後	じゅーににちご	○	cb14-2
12時	じゅーにじ	○	ca01-2,ca08-2
12月	じゅーにがつ	○	cc02-1
12頁	じゅーにぺーじ	○	c707-2
13人	じゅーさんにん	○	cb01-2
13分	じゅーさんぷん	○	c803-1
13秒	じゅーさんびょー	○	c609-2
145度	ひゃくよんじゅーごど	○	c606-1
146メートル	ひゃくよんじゅーろくめーとる	○	c202-1
14人	じゅーよにん	○	c204-2,ca05-1
14分	じゅーよんぷん	○	c804-1
150メートル	ひゃくごじゅーめーとる	○	c210-2
150台	ひゃくごじゅーだい	○	c212-2
152人	ひゃくごじゅーににん	○	ca09-3,cb04-1
15人	じゅーごにん	○	c206-2,ca07-2,cb01-1,cb02-1
15分	じゅーごふん	○	c805-1
15度	じゅーごど	○	c612-1
15日	じゅーごにち	○	c201-1,c208-1,c502-1
16日	じゅーろくにち	○	c101-1,c306-2,c601-1
1703トン	せんななひゃくさんとん	○	c408-2,c507-2,c508-2
172人	ひゃくななじゅーににん	○	c101-2,ca03-1
17時	じゅーしちじ	○	c201-2,c208-1
18分	じゅーはっぷん	○	c902-2
18年	じゅーはちねん	○	c304-2
18日	じゅーはちにち	○	ca01-2,ca02-2
18時	じゅーはちじ	○	c203-1
1994年	せんきゅーひゃくきゅーじゅーよねん	○	c302-2,c304-2
19キロ	じゅーきゅーきろ	○	c610-1
19分	じゅーきゅーふん	○	ca08-2
1つ	ひとつ	○	c507-3,c616-1,c901-1,cb10-1,cc11-2,cc16-1 ほか1
1キロ以内	いちきろいない	○	c201-2
1人	ひとり	○	c909-2,ca09-2
1分	いっぷん	○	c610-2
1回目	いっかいめ	○	c604-1
1年	いちねん	○	c307-1
1時間	いちじかん	○	c102-1,c107-2
1月	いちがつ	○	c302-2,c413-1,cc14-1
1本	いっぽん	○	c511-1
1等	いっとー	○	cb08-1
1等客室	いっとーきゃくしつ	○	c310-1
1等航海士	いっとーこーかいし	○	c509-2,c703-1,cb11-1,cb12-1
2.4キロ	にーてんよんきろ	○	c611-2
2.4メートル	にーてんよんめーとる	○	c503-1,c514-2
2010年	にせんじゅーねん	○	c301-1
2012年	にせんじゅーにねん	○	c304-1,c401-1
2013年	にせんじゅーさんねん	○	c306-2,c413-1
2014年	にせんじゅーよねん	○	c101-1,c201-1,ca02-2,cc02-1
2015年	にせんじゅーごねん	○	cb01-1,cc06-1
2017年	にせんじゅーななねん	○	c412-1,cc09-1
2018年	にせんじゅーはちねん	○	cc09-2,cc11-2,cd05-1
2022年	にせんにじゅーにねん	○	cc12-1
2026年	にせんにじゅーろくねん	○	cc14-1,cd05-2
20度	にじゅーど	○	c612-1
20日前	はつかまえ	○	c501-1
2143トン	にせんひゃくよんじゅーさんとん	○	c504-2
