cid	頭の秒	行数	字数
c101	0.0	2	62
c102	11.8	2	46
c103	22.9	2	51
c104	32.8	2	33
c105	41.6	2	50
c106	51.4	2	55
c107	62.0	2	58
c108	73.1	2	57
c109	84.0	2	58
c110	95.1	2	58
c111	106.2	2	59
c112	117.5	2	51
c201	129.4	2	67
c202	142.0	2	62
c203	153.8	2	51
c204	163.7	2	71
c205	177.1	2	54
c206	187.5	2	62
c207	199.3	2	50
c208	209.0	2	48
c209	218.4	2	49
c210	230.0	2	68
c211	242.8	2	49
c212	252.4	2	69
c213	265.4	2	46
c214	274.4	2	42
c301	284.8	2	55
c302	295.4	2	66
c303	307.9	2	55
c304	318.5	2	61
c305	330.1	2	55
c306	340.7	2	53
c307	350.9	2	47
c308	360.2	2	62
c309	372.0	2	61
c310	383.6	2	57
c311	394.5	2	57
c312	405.4	2	54
c401	417.9	2	57
c402	428.8	2	60
c403	440.2	2	52
c404	450.3	2	71
c405	463.7	2	65
c406	475.9	2	55
c407	488.5	2	56
c408	499.3	2	55
c409	509.9	2	51
c410	519.8	2	53
c411	530.1	2	58
c412	541.2	2	54
c413	551.6	2	66
c414	564.1	2	55
c415	574.7	1	35
c416	581.5	1	32
c501	589.8	2	61
c502	601.4	2	68
c503	614.2	2	61
c504	625.8	2	55
c505	636.4	2	42
c506	646.8	2	64
c507	658.9	2	64
c508	671.0	2	49
c509	682.6	2	52
c510	692.7	2	71
c511	706.0	2	60
c512	717.4	2	57
c513	728.4	2	61
c514	740.0	2	59
c515	751.3	2	52
c516	761.4	2	64
c601	775.5	2	54
c602	785.9	2	55
c603	796.5	2	62
c604	808.3	2	65
c605	820.6	2	57
c606	831.5	2	56
c607	842.3	2	48
c608	853.7	2	59
c609	865.0	2	57
c610	875.9	2	59
c611	887.2	2	49
c612	896.8	2	61
c613	908.4	2	36
c614	915.7	1	29
c615	921.5	2	62
c616	933.3	2	47
c701	944.5	2	54
c702	955.0	2	42
c703	963.3	2	53
c704	973.6	2	63
c705	985.6	2	64
c706	997.7	2	42
c707	1008.1	2	42
c708	1016.5	2	65
c709	1028.8	2	66
c710	1041.2	2	65
c711	1053.5	2	60
c712	1065.0	2	68
c713	1077.8	2	59
c714	1089.0	2	43
c715	1099.6	2	62
c716	1111.4	2	53
c717	1121.6	2	49
c718	1131.2	2	54
c801	1143.6	2	51
c802	1153.6	2	57
c803	1164.5	2	54
c804	1174.9	2	58
c805	1186.0	2	65
c806	1198.3	2	61
c807	1209.9	2	38
c808	1219.6	2	71
c809	1233.0	3	75
c810	1247.3	2	47
c811	1258.6	2	45
c812	1267.5	2	48
c813	1276.9	3	87
c814	1293.3	2	63
c815	1305.3	2	49
c816	1314.9	2	37
c817	1324.4	2	68
c818	1337.2	2	63
c901	1351.1	2	58
c902	1362.3	3	71
c903	1376.0	2	69
c904	1388.9	2	48
c905	1398.3	2	53
c906	1408.6	2	57
c907	1419.5	2	53
c908	1429.8	2	73
c909	1443.5	2	42
c910	1451.8	2	63
c911	1463.8	2	59
c912	1475.1	2	39
c913	1484.9	2	41
c914	1493.2	2	56
c915	1503.9	2	53
c916	1514.2	1	39
c917	1521.7	1	39
c918	1529.1	2	66
c919	1541.6	2	60
c920	1553.0	3	79
ca01	1572.1	2	63
ca02	1584.1	2	45
ca03	1593.0	2	50
ca04	1602.7	2	48
ca05	1612.1	2	75
ca06	1626.1	2	63
ca07	1638.1	2	60
ca08	1649.5	2	65
ca09	1661.8	2	66
ca10	1674.3	2	36
ca11	1681.6	1	25
ca12	1686.7	2	46
ca13	1695.8	1	32
ca14	1702.1	2	44
cb01	1712.8	2	63
cb02	1724.8	2	47
cb03	1734.0	2	51
cb04	1743.9	2	50
cb05	1753.7	2	66
cb06	1766.1	2	35
cb07	1775.3	2	61
cb08	1787.0	3	97
cb09	1805.1	2	56
cb10	1815.9	2	71
cb11	1829.2	2	47
cb12	1838.4	2	62
cb13	1850.2	2	55
cb14	1860.8	2	67
cb15	1873.4	3	108
cc01	1895.4	1	35
cc02	1902.2	2	62
cc03	1914.0	3	79
cc04	1929.1	2	64
cc05	1941.2	3	93
cc06	1958.7	2	58
cc07	1969.8	2	52
cc08	1981.9	2	55
cc09	1992.4	2	62
cc10	2004.2	2	64
cc11	2016.4	3	75
cc12	2030.8	2	60
cc13	2042.2	2	48
cc14	2051.6	2	60
cc15	2063.1	3	89
cc16	2079.8	3	87
cd01	2098.3	2	36
cd02	2105.6	2	38
cd03	2113.3	2	47
cd04	2122.6	1	34
cd05	2129.2	2	79
cd06	2143.9	3	104
cd07	2163.2	2	52
cd08	2173.3	3	75
end	2187.7		
