# 15本目 リノ・エアレース2011 ⑤a-1：数の台帳（tools/check_aq_yomi.py が読む）。鍵<TAB>読み<TAB>注（下書きの行）
# 作り方＝check_aq_yomi --propose の下書き（pyopenjtalk の読み）を、台本 §6-1 と日本語の標準の読みを答えにして Claude が1鍵ずつ読んで直した（2026-09-26）
# 直した鍵＝0秒（ぜろ→れい）・桁区切りのカンマの3つ（1,000／1,453／2,700）・1桁ずつに割れた3つ（177・69・P-51の51）。鍵を切った10件（後ろの漢字まで拾った）
# ⚠️ §6-1 と違えたもの＝0.27秒・0.56秒・0.83秒は小数点の下を1桁ずつ読む（れいてんにーなな…）。§6-1 の「れいてんにじゅうなな」などは標準の読みでない（同じ表の 1.44秒＝いってんよんよん とも食い違っていた）
# ⚠️ 0度＝ぜろど は §6-1 のまま（時間の0は れい・角度の0は ぜろ＝文脈が違う。⑤a' の試聴で耳に引っかかれば揃える）
# ⚠️ 読みは長音を「ー」で書く（音声記号列の書き方）。鍵は台本の字のまま（算用数字は半角）
0.27秒	れーてんにーななびょー	下書きのまま（c305-2）
0.56秒	れーてんごーろくびょー	下書きのまま（c306-2）
0.83秒	れーてんはちさんびょー	下書きのまま（c307-1）
0度	ぜろど	下書きのまま（c514-3）
0秒	れーびょー	直した：§6-1 れいびょう（下書き ぜろびょー）（c304-2,c305-1）
1,000フィート	せんふぃーと	直した：下書き いちぜろぜろぜろふぃーと＝カンマで割れた（c209-2,c818-2）
1,453時間	せんよんひゃくごじゅーさんじかん	直した：下書き いちよんひゃく…＝カンマで割れた（c415-2,c620-3）
1.3秒	いってんさんびょー	下書きのまま（c307-2）
1.44秒	いってんよんよんびょー	下書きのまま（c310-2）
1.5マイル	いってんごまいる	下書きのまま（c904-2）
100マイル	ひゃくまいる	下書きのまま（c602-1）
10人	じゅーにん	下書きのまま（c102-2,c802-2）
10件	じゅっけん	下書きのまま（c911-1）
10分前	じゅっぷんまえ	下書きのまま（c208-2）
10年	じゅーねん	下書きのまま（c916-2）
10日	とーか	下書きのまま（c901-1,c902-2）
10本	じゅっぽん	下書きのまま（c204-1）
11.3メートル	じゅーいってんさんめーとる	下書きのまま（c502-2）
11.8キロ	じゅーいってんはちきろ	下書きのまま（c509-1）
11年	じゅーいちねん	下書きのまま（c619-3）
11月	じゅーいちがつ	下書きのまま（c914-2）
12日	じゅーににち	下書きのまま（c701-1）
12日付	じゅーににちずけ	下書きのまま（c704-1）
12月	じゅーにがつ	下書きのまま（c403-2）
13.5キロ	じゅーさんてんごきろ	下書きのまま（c204-1）
13.75ポンド	じゅーさんてんななごーぽんど	下書きのまま（c509-2）
13度	じゅーさんど	下書きのまま（c306-2）
13日	じゅーさんにち	下書きのまま（c916-1）
152メートル	ひゃくごじゅーにめーとる	下書きのまま（c210-2,c213-2,c818-1）
15分	じゅーごふん	下書きのまま（c208-1,c607-2,c808-1）
161キロ	ひゃくろくじゅーいちきろ	下書きのまま（c602-1）
16人	じゅーろくにん	下書きのまま（c802-3）
16日	じゅーろくにち	下書きのまま（c101-1,c201-1）
16時間	じゅーろくじかん	鍵を切った（下書き 16時間遅・c111-1）
17.3	じゅーななてんさん	下書きのまま（c307-2,c308-1,c516-2）
17倍	じゅーななばい	下書きのまま（c308-1）
18年後	じゅーはちねんご	下書きのまま（c411-2）
1944年	せんきゅーひゃくよんじゅーよねん	下書きのまま（c324-3,c402-2,c403-2）
1946年	せんきゅーひゃくよんじゅーろくねん	下書きのまま（c404-2）
1969年	せんきゅーひゃくろくじゅーきゅーねん	下書きのまま（c405-1）
1970年	せんきゅーひゃくななじゅーねん	下書きのまま（c407-1）
1982年	せんきゅーひゃくはちじゅーにねん	下書きのまま（c405-1）
1983年	せんきゅーひゃくはちじゅーさんねん	下書きのまま（c408-1,c410-1）
1985年	せんきゅーひゃくはちじゅーごねん	下書きのまま（c518-2,c710-3）
1989年	せんきゅーひゃくはちじゅーきゅーねん	下書きのまま（c410-1,c411-1）
1990年	せんきゅーひゃくきゅーじゅーねん	下書きのまま（c819-1）
1つ	ひとつ	下書きのまま（c210-1,c318-2,c319-1,c321-1,c420-1,c508-2 ほか5）
1人	ひとり	下書きのまま（c417-1,c721-1）
1件	いっけん	下書きのまま（c605-1,c912-1）
1位	いちい	下書きのまま（c207-1）
1周	いっしゅー	下書きのまま（c204-1）
1回	いっかい	下書きのまま（c607-2）
1時間	いちじかん	下書きのまま（c609-1）
1月	いちがつ	下書きのまま（c901-1）
1本	いっぽん	下書きのまま（c106-2,c706-2,c724-1）
1枚	いちまい	下書きのまま（c515-2）
1秒	いちびょー	下書きのまま（c308-2）
1秒未満	いちびょーみまん	下書きのまま（c314-2）
2	に	下書きのまま（c501-1）
2,700時間	にせんななひゃくじかん	直した：下書き にななひゃくじかん＝カンマで割れた（c620-2）
2.4キロ	にーてんよんきろ	下書きのまま（c904-2）
2007年	にせんななねん	下書きのまま（c411-2,c412-2,c603-2）
2009年	にせんきゅーねん	下書きのまま（c412-2,c413-1,c417-1,c603-3,c605-1,c607-1 ほか4）
2010年	にせんじゅーねん	下書きのまま（c416-1,c615-1,c618-2,c619-1,c619-2,c619-3 ほか1）
2011年	にせんじゅーいちねん	下書きのまま（c101-1,c201-1,c415-2,c502-3,c618-2,c620-2 ほか5）
2012年	にせんじゅーにねん	下書きのまま（c901-1,c902-2）
2013年	にせんじゅーさんねん	下書きのまま（c911-1）
2020年	にせんにじゅーねん	下書きのまま（c913-2,c914-2）
2021年	にせんにじゅーいちねん	下書きのまま（c916-1）
2024年	にせんにじゅーよねん	下書きのまま（c917-1）
2025年	にせんにじゅーごねん	下書きのまま（c917-2）
20分	にじゅっぷん	下書きのまま（c607-2,c808-1）
21年	にじゅーいちねん	下書きのまま（c416-2）
21度以上	にじゅーいちどいじょー	下書きのまま（c306-2）
21日	にじゅーいちにち	下書きのまま（c607-1）
228メートル	にひゃくにじゅーはちめーとる	下書きのまま（c212-1,c819-2）
22度	にじゅーにど	下書きのまま（c201-2）
22日	にじゅーににち	下書きのまま（c610-1）
23人	にじゅーさんにん	下書きのまま（c810-2）
23分	にじゅーさんぷん	下書きのまま（c608-2）
23日	にじゅーさんにち	下書きのまま（c403-2）
24分	にじゅーよんぷん	下書きのまま（c301-1,c317-1）
25日	にじゅーごにち	下書きのまま（c813-1）
25時間	にじゅーごじかん	下書きのまま（c622-2）
266メートル	にひゃくろくじゅーろくめーとる	下書きのまま（c211-2,c819-2）
26ポンド	にじゅーろくぽんど	下書きのまま（c509-1）
26分	にじゅーろっぷん	下書きのまま（c804-1）
26年以上	にじゅーろくねんいじょー	下書きのまま（c918-2）
26年以上前	にじゅーろくねんいじょーまえ	下書きのまま（c105-2）
28秒	にじゅーはちびょー	下書きのまま（c301-1）
