Warning: ONNX Runtime is not installed. Nani prediction will be disabled.
Please install ONNX Runtime by `pip install pyopenjtalk-plus[onnxruntime]`
鍵	語だけの読み	文の中	行
0.27秒	れーてんにーななびょー	○	c305-2
0.56秒	れーてんごーろくびょー	○	c306-2
0.83秒	れーてんはちさんびょー	○	c307-1
0度	ぜろど	○	c514-3
0秒	ぜろびょー	○	c304-2,c305-1
1,000フィート	いちぜろぜろぜろふぃーと	○	c209-2,c818-2
1,453時間	いちよんひゃくごじゅーさんじかん	○	c415-2,c620-3
1.3秒	いってんさんびょー	○	c307-2
1.44秒	いってんよんよんびょー	○	c310-2
1.5マイル	いってんごまいる	○	c904-2
100マイル	ひゃくまいる	○	c602-1
10人	じゅーにん	○	c102-2,c802-2
10件	じゅっけん	○	c911-1
10分前	じゅっぷんまえ	○	c208-2
10年	じゅーねん	○	c916-2
10日	とーか	○	c901-1,c902-2
10本	じゅっぽん	○	c204-1
11.3メートル	じゅーいってんさんめーとる	○	c502-2
11.8キロ	じゅーいってんはちきろ	○	c509-1
11年	じゅーいちねん	○	c619-3
11月	じゅーいちがつ	○	c914-2
12日	じゅーににち	○	c701-1
12日付	じゅーににちずけ	○	c704-1
12月	じゅーにがつ	○	c403-2
13.5キロ	じゅーさんてんごきろ	○	c204-1
13.75ポンド	じゅーさんてんななごーぽんど	○	c509-2
13度	じゅーさんど	○	c306-2
13日	じゅーさんにち	○	c916-1
152メートル	ひゃくごじゅーにめーとる	○	c210-2,c213-2,c818-1
15分	じゅーごふん	○	c208-1,c607-2,c808-1
161キロ	ひゃくろくじゅーいちきろ	○	c602-1
16人	じゅーろくにん	○	c802-3
16日	じゅーろくにち	○	c101-1,c201-1
16時間遅	じゅーろくじかんおそ	○	c111-1
17.3	じゅーななてんさん	○	c307-2,c308-1,c516-2
17倍	じゅーななばい	○	c308-1
18年後	じゅーはちねんご	○	c411-2
1944年	せんきゅーひゃくよんじゅーよねん	○	c324-3,c402-2,c403-2
1946年	せんきゅーひゃくよんじゅーろくねん	○	c404-2
1969年	せんきゅーひゃくろくじゅーきゅーねん	○	c405-1
1970年	せんきゅーひゃくななじゅーねん	○	c407-1
1982年	せんきゅーひゃくはちじゅーにねん	○	c405-1
1983年	せんきゅーひゃくはちじゅーさんねん	○	c408-1,c410-1
1985年	せんきゅーひゃくはちじゅーごねん	○	c518-2,c710-3
1989年	せんきゅーひゃくはちじゅーきゅーねん	○	c410-1,c411-1
1990年	せんきゅーひゃくきゅーじゅーねん	○	c819-1
1つ	ひとつ	○	c210-1,c318-2,c319-1,c321-1,c420-1,c508-2 ほか5
1人	ひとり	○	c417-1,c721-1
1件	いっけん	○	c605-1,c912-1
1位	いちい	○	c207-1
1周	いっしゅー	○	c204-1
1回	いっかい	○	c607-2
1時間	いちじかん	○	c609-1
1月	いちがつ	○	c901-1
1本	いっぽん	○	c106-2,c706-2,c724-1
1枚	いちまい	○	c515-2
1秒	いちびょー	○	c308-2
1秒未満	いちびょーみまん	○	c314-2
2	に	○	c501-1
2,700時間	にななひゃくじかん	○	c620-2
2.4キロ	にーてんよんきろ	○	c904-2
2007年	にせんななねん	○	c411-2,c412-2,c603-2
2009年	にせんきゅーねん	○	c412-2,c413-1,c417-1,c603-3,c605-1,c607-1 ほか4
2010年	にせんじゅーねん	○	c416-1,c615-1,c618-2,c619-1,c619-2,c619-3 ほか1
2011年	にせんじゅーいちねん	○	c101-1,c201-1,c415-2,c502-3,c618-2,c620-2 ほか5
2012年	にせんじゅーにねん	○	c901-1,c902-2
2013年	にせんじゅーさんねん	○	c911-1
2020年	にせんにじゅーねん	○	c913-2,c914-2
2021年	にせんにじゅーいちねん	○	c916-1
2024年	にせんにじゅーよねん	○	c917-1
2025年	にせんにじゅーごねん	○	c917-2
20分	にじゅっぷん	○	c607-2,c808-1
21年	にじゅーいちねん	○	c416-2
21度以上	にじゅーいちどいじょー	○	c306-2
21日	にじゅーいちにち	○	c607-1
228メートル	にひゃくにじゅーはちめーとる	○	c212-1,c819-2
22度	にじゅーにど	○	c201-2
22日	にじゅーににち	○	c610-1
23人	にじゅーさんにん	○	c810-2
23分	にじゅーさんぷん	○	c608-2
23日	にじゅーさんにち	○	c403-2
24分	にじゅーよんぷん	○	c301-1,c317-1
25日	にじゅーごにち	○	c813-1
25時間	にじゅーごじかん	○	c622-2
266メートル	にひゃくろくじゅーろくめーとる	○	c211-2,c819-2
26ポンド	にじゅーろくぽんど	○	c509-1
26分	にじゅーろっぷん	○	c804-1
26年以上	にじゅーろくねんいじょー	○	c918-2
26年以上前	にじゅーろくねんいじょーまえ	○	c105-2
28秒	にじゅーはちびょー	○	c301-1
2つ	ふたつ	○	c318-3,c324-1,c817-2,c821-1,c912-1,c918-1
2位	にい	○	c207-1
2倍	にばい	○	c206-1,c509-2
2周	にしゅー	○	c216-1
2回	にかい	○	c608-3
2日	ふつか	○	c608-2,c809-2
2月	にがつ	○	c913-2
2枚	にまい	○	c512-3,c515-3
2機	にき	○	c219-1,c319-1,c320-1
3	さん	○	c303-1,c308-2,c706-2,c809-2,c907-2,c910-1
3.1秒	さんてんいちびょー	○	c311-1
305メートル	さんびゃくごめーとる	○	c209-2,c818-2
37フィート	さんじゅーななふぃーと	○	c502-2
38秒	さんじゅーはちびょー	○	c317-1
395号	さんびゃくきゅーじゅーごごー	○	c811-1
3つ	みっつ	○	c109-2,c918-1,c918-3
3ミリ	さんみり	○	c511-1
3位	さんい	○	c205-2
3周目	さんしゅーめ	○	c205-2
3回	さんかい	○	c606-1,c720-2,c913-1
3日	みっか	○	c914-2
3日前	みっかまえ	○	c214-1
3時間	さんじかん	○	c606-1,c609-2
3秒後	さんびょーご	○	c104-2
4	よん	○	c907-2
4.5秒先	よんてんごびょーさき	○	c207-1
4.6秒	よんてんろくびょー	○	c312-1
400ノット	よんひゃくのっと	○	c522-1
40分	よんじゅっぷん	○	c609-1
435ノット	よんひゃくさんじゅーごのっと	○	c203-3
445ノット	よんひゃくよんじゅーごのっと	○	c205-1
458ノット	よんひゃくごじゅーはちのっと	○	c216-2
46人	よんじゅーろくにん	○	c810-2
4つ	よっつ	○	c803-1
4位	よんい	○	c214-1
4周	よんしゅー	○	c906-1
4日前	よっかまえ	○	c624-2,c701-1,c720-1,c918-2
4時	よじ	○	c208-1,c301-1,c317-1,c804-1
4月	しがつ	○	c402-2,c603-2,c902-2
500フィート	ごひゃくふぃーと	○	c818-1
59	ごじゅーきゅー	○	c621-1
5回	ごかい	○	c608-3,c609-1
5月	ごがつ	○	c813-1,c917-1
6	ろく	○	c216-2
6.2キロ	ろくてんにきろ	○	c509-2
602キロ	ろっぴゃくにきろ	○	c616-1
62分	ろくじゅーにふん	○	c726-2
62分以内	ろくじゅーにふんいない	○	c805-3
64人	ろくじゅーよにん	○	c802-2
65キロ	ろくじゅーごきろ	○	c217-1
66年	ろくじゅーろくねん	○	c324-3
6つ	むっつ	○	c203-2
6周	ろくしゅー	○	c205-2
6月	ろくがつ	○	c809-2
7	なな	○	c216-2
741キロ	ななひゃくよんじゅーいちきろ	○	c522-1
748フィート	ななひゃくよんじゅーはちふぃーと	○	c212-1
74歳	ななじゅーよんさい	○	c107-2
7月	しちがつ	○	c404-2,c408-1,c415-2,c622-2,c916-1
8	はち	○	c205-1,c216-1,c219-1,c301-1
8.4マイル	はってんよんまいる	○	c204-1
8.8メートル	はってんはちめーとる	○	c502-2
8.8秒先	はってんはちびょーさき	○	c207-1
806キロ	はっぴゃくろっきろ	○	c203-3
824キロ	はっぴゃくにじゅーよんきろ	○	c205-1
848キロ	はっぴゃくよんじゅーはちきろ	○	c216-2
874フィート	はっぴゃくななじゅーよんふぃーと	○	c211-2
8秒前	はちびょーまえ	○	c218-2
9.1秒	きゅーてんいちびょー	○	c317-1
93度	きゅーじゅーさんど	○	c307-1
9件	きゅーけん	○	c911-1
9月	くがつ	○	c101-1,c201-1,c607-1,c610-1,c701-1,c704-1
9秒	きゅーびょー	○	c102-1,c109-2,c220-2
10件出	じゅっけんで	✕要確認	c902-2
177	ひゃくななじゅーなな	✕要確認	c401-1
200時間飛	にひゃくじかんひ	✕要確認	c622-1
20分飛	にじゅっぷんひ	✕要確認	c609-1
26年以上付	にじゅーろくねんいじょーずけ	✕要確認	c711-2
325ノット未	さんびゃくにじゅーごのっとひつじ	✕要確認	c616-1
35ノット速	さんじゅーごのっとそく	✕要確認	c217-1
51	ごじゅーいち	✕要確認	c207-2,c402-1,c501-1,c502-3,c512-3
69	ろくじゅーきゅー	✕要確認	c405-2
6周飛	ろくしゅーひ	✕要確認	c906-1
70度傾	ななじゅーどかたぶけ	✕要確認	c219-1
73度傾	ななじゅーさんどかたぶけ	✕要確認	c304-2
