# 15本目 リノ・エアレース2011 ⑤a-1：pyopenjtalk の利用者辞書（tools/aq_kana.py が読む）。1行1語・MeCab の CSV の形
# 表層形,左文脈ID,右文脈ID,コスト,品詞,細分類1,細分類2,細分類3,活用型,活用形,原形,読み,発音,アクセント型/モーラ数,結合規則
# ⚠️ 表層形の英数字は全角で書く（pyopenjtalk は文を全角に揃えてから引く：「4月」→「４月」）
# ⚠️ アクセント型＝句頭から数えた核の位置（0＝平板）。固有名詞・数の型は推定＝⑤a-2 の音で確かめる
# ── 数が1桁ずつに割れた（pyopenjtalk が記号・英字のあとや「番号は」のあとの数を「五一」「一七七」「六九」と1桁ずつにした）
#    台本 §6-1：P-51＝ピーごじゅういち・177＝ひゃくななじゅうなな（いち・なな・なな と割らない）・69＝ろくじゅうきゅう
#    ⚠️ 「P-51」のハイフンは pyopenjtalk の中で「−」（U+2212 マイナス記号）になる。表層形を「Ｐ−５１Ｄ」にすると読みは直るが、
#       check_aq_yomi の「辞書の語が台本に当たるか」（NFKC で比べる）が U+2212 をハイフンに戻さず E になる＝数字の側だけを鍵にした
#       （5行とも「P-51」の「51」だけ＝ほかの「51」は台本に無い。「ピー」は前の句のまま）
５１Ｄ,,,1,名詞,固有名詞,一般,*,*,*,５１Ｄ,ゴジュウイチディー,ゴジューイチディー,2/7,*
５１,,,1,名詞,固有名詞,一般,*,*,*,５１,ゴジュウイチ,ゴジューイチ,2/5,*
１７７,,,1,名詞,固有名詞,一般,*,*,*,１７７,ヒャクナナジュウナナ,ヒャクナナジューナナ,5/8,*
６９,,,1,名詞,固有名詞,一般,*,*,*,６９,ロクジュウキュウ,ロクジューキュー,5/6,*
# ── 桁区切りのカンマで数が割れた（「1,000」→「いち、ぜろぜろぜろ」・「1,453」→「いち、よんひゃく…」・「2,700」→「に、ななひゃく」）
#    ⚠️ 数の台帳の下書きは同じ誤りを「○」で通していた（下書き＝pyopenjtalk の写し）
１，０００フィート,,,1,名詞,一般,*,*,*,*,１，０００フィート,センフィート,センフィート,3/5,*
１，４５３時間,,,1,名詞,一般,*,*,*,*,１，４５３時間,センヨンヒャクゴジュウサンジカン,センヨンヒャクゴジューサンジカン,12/14,*
２，７００時間,,,1,名詞,一般,*,*,*,*,２，７００時間,ニセンナナヒャクジカン,ニセンナナヒャクジカン,8/10,*
# ── 0秒＝ぜろびょう になった。台本 §6-1 は れいびょう（0.27秒 などの「れいてん」とそろう）。0度は §6-1 のまま ぜろど
０秒,,,1,名詞,一般,*,*,*,*,０秒,レイビョウ,レービョー,1/4,*
# ── 割れていた固有名詞（「ぎゃろっ'/ぴんぐ」＝句の最後が っ）
ギャロッピング,,,1,名詞,固有名詞,一般,*,*,*,ギャロッピング,ギャロッピング,ギャロッピング,1/6,*
# ── 読み違い（Claude が台本 §6-2 の全語と、14本目の型の字〈何・章・島・船・人・行・入・通・英字〉の行を読み一覧で当たった）
# 留まっていた＝とどまっていた（c706-2）。c303-1「留まり」・c105-1／c309-2「留めていた」は とま・とめ で正しい
留まっていた,,,1,名詞,一般,*,*,*,*,留まっていた,トマッテイタ,トマッテイタ,0/6,*
# 「何」の読み分けは onnxruntime が無いと働かない（なにども・なにしゅうも・なにだいも になった）。何を・何が・何か・何？ は なに で正しい
何度,,,1,名詞,一般,*,*,*,*,何度,ナンド,ナンド,1/3,*
何周,,,1,名詞,一般,*,*,*,*,何周,ナンシュウ,ナンシュー,1/4,*
何台,,,1,名詞,一般,*,*,*,*,何台,ナンダイ,ナンダイ,1/4,*
# 予選を4位で通っていた＝かよっていた（c214-1・台本に1か所）。c320-1「通り道」は とおりみち で正しい
通っていた,,,1,名詞,一般,*,*,*,*,通っていた,トオッテイタ,トオッテイタ,1/6,*
# 黄色＝おうしょく（c710-2・c710-3・c807-1 の3行とも）
黄色,,,1,名詞,一般,*,*,*,*,黄色,キイロ,キイロ,0/3,*
# 台本 §6-2 の読みと違った語（昇降舵＝しょうこうかじ・補助翼＝ほじょつばさ・操縦桿＝桿が落ちて そうじゅう・取り入れ口＝とりいれこう・
#   耐空証明＝たいそらしょうめい・年月＝としつき・風よけ＝かざよけ）。「操縦」だけの8行は そうじゅう で正しい
昇降舵,,,1,名詞,一般,*,*,*,*,昇降舵,ショウコウダ,ショーコーダ,3/6,*
補助翼,,,1,名詞,一般,*,*,*,*,補助翼,ホジョヨク,ホジョヨク,2/4,*
操縦桿,,,1,名詞,一般,*,*,*,*,操縦桿,ソウジュウカン,ソージューカン,3/6,*
取り入れ口,,,1,名詞,一般,*,*,*,*,取り入れ口,トリイレグチ,トリイレグチ,0/6,*
耐空証明,,,1,名詞,一般,*,*,*,*,耐空証明,タイクウショウメイ,タイクーショーメー,5/8,*
年月,,,1,名詞,一般,*,*,*,*,年月,ネンゲツ,ネンゲツ,1/4,*
風よけ,,,1,名詞,一般,*,*,*,*,風よけ,カゼヨケ,カゼヨケ,0/4,*
# ── 読みの点検（サブエージェント2本が全428行を原文と突き合わせた）。Claude が1件ずつ今の変換で確かめ、同じ語の出るほかの行も当たってから入れた
# いちばん下の組＝いちばんかのくみ（c616-2）。ほかの「下」11行（より下は・下へ・胴体の下の・上塗りの下に・上げ下げ ほか）は した・さげ で正しい。
#   ほかの「いちばん」5行（速い・高かった・上へ・違う・短い）はこの鍵に当たらない
いちばん下,,,1,名詞,一般,*,*,*,*,いちばん下,イチバンシタ,イチバンシタ,0/6,*
# 上昇のいちばん上へ＝いちばんじょうえ（c311-1）。ほかの「上へ」2行（c306-2・c310-2）は うえ で正しい
いちばん上,,,1,名詞,一般,*,*,*,*,いちばん上,イチバンウエ,イチバンウエ,0/6,*
# そのぶん板は＝そのぶんばんは（c511-2・「ぶん板」を1語に取った）。ほかの「板」48行は いた で正しい。「そのぶん」は台本にこの1か所
そのぶん,,,1,副詞,一般,*,*,*,*,そのぶん,ソノブン,ソノブン,0/4,*
