id	verdict	ground	w	h	date	author	license	title	scene	commons_page
#001	○	D'	540	543	1963-10-10	Unknown author Unknown author	Public domain	Campanile Pirago.jpg	ピラーゴの鐘楼とがれき（事故後・人なし）	https://commons.wikimedia.org/wiki/File:Campanile_Pirago.jpg
#002	◎	A	550	800	1963	US Army	Public domain	Diga Vajont 1963.jpg	事故後も立つダム（下流から・谷底にがれき）	https://commons.wikimedia.org/wiki/File:Diga_Vajont_1963.jpg
#003	○	D	898	660	1963	Ispettorato Vigili del Fuoco	Public domain	Disastro del Vajont, 9 ottobre 1963 (1).jpg	空撮：削られた地面・軍のテント・道路（救援）	https://commons.wikimedia.org/wiki/File:Disastro_del_Vajont,_9_ottobre_1963_(1).jpg
#004	○	D	896	660	1963	Ispettorato Vigili del Fuoco	Public domain	Disastro del Vajont, 9 ottobre 1963 (2).jpg	空撮：鉄道の石のアーチ橋と道路・奥に削られた平地と鐘楼	https://commons.wikimedia.org/wiki/File:Disastro_del_Vajont,_9_ottobre_1963_(2).jpg
#005	○	D	900	660	1963	Ispettorato Vigili del Fuoco	Public domain	Disastro del Vajont, 9 ottobre 1963 (3).jpg	削られた谷と川・アーチ橋・流木	https://commons.wikimedia.org/wiki/File:Disastro_del_Vajont,_9_ottobre_1963_(3).jpg
#006	○	D	895	660	1963	Ispettorato Vigili del Fuoco	Public domain	Disastro del Vajont, 9 ottobre 1963.jpg	ピアーヴェの谷の広い眺め・遠くに町（左端にスキャンの黒い影）	https://commons.wikimedia.org/wiki/File:Disastro_del_Vajont,_9_ottobre_1963.jpg
#007	◎	D'	836	689	1963-10-10	Unknown author Unknown author	Public domain	Disastro Vajont.jpg	上空から：峡谷のダム・谷を埋めた崩れた山・残った湖（#034 と同じ写真の疑い＝特徴点33一致）	https://commons.wikimedia.org/wiki/File:Disastro_Vajont.jpg
#008	○	D	585	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont1.jpg	壊れた建物の正面とがれき（人なし）	https://commons.wikimedia.org/wiki/File:DisastroVajont1.jpg
#009	○	D	588	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont10.jpg	壊れた建物とがれき・遠くに小さな人影	https://commons.wikimedia.org/wiki/File:DisastroVajont10.jpg
#010	△	D	339	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont2.jpg	狭い峡谷と小舟の人（339px・人の横顔）	https://commons.wikimedia.org/wiki/File:DisastroVajont2.jpg
#011	△	D	600	436	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont3.jpg	空撮：斜面の集落と削られた平地（スキャンの白い傷）	https://commons.wikimedia.org/wiki/File:DisastroVajont3.jpg
#012	✕	D	339	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont4.jpg	水の中の白い物を棒で引く兵士＝遺体の引き上げの疑い（§B2-2）	https://commons.wikimedia.org/wiki/File:DisastroVajont4.jpg
#013	○	D	579	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont5.jpg	ピアーヴェに仮橋を架ける兵士たち（人は小さい）	https://commons.wikimedia.org/wiki/File:DisastroVajont5.jpg
#014	○	D	318	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont6.jpg	慰霊の大きな木の十字架と花輪（318px）	https://commons.wikimedia.org/wiki/File:DisastroVajont6.jpg
#015	✕	D	597	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont7.jpg	マスクの兵士が地面の物を探る＝遺体の収容の疑い（§B2-2）	https://commons.wikimedia.org/wiki/File:DisastroVajont7.jpg
#016	△	D	593	440	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont8.jpg	背広の男性と将校たち＝公人の視察（顔がはっきり・credit ANSA・人物名は説明に無い）	https://commons.wikimedia.org/wiki/File:DisastroVajont8.jpg
#017	◎	D	600	434	1963	Ispettorato Vigili del Fuoco	Public domain	DisastroVajont9.jpg	ダムの上流側：泥水の残った池と崩れた土砂の斜面	https://commons.wikimedia.org/wiki/File:DisastroVajont9.jpg
#018	○	A	800	600	1963-10-10	US Army	Public domain	Longarone 1963.jpg	空撮：削られたロンガローネ一帯と残った家並み	https://commons.wikimedia.org/wiki/File:Longarone_1963.jpg
#019	◎	A+D'	1744	629	1960	unknown (1960) and US Army (1963)	Public domain	Longarone disastro.jpg	ロンガローネの前後（左1960・右1963＝#032 系の米陸軍）・人なし・合成（半分ずつ約870px）	https://commons.wikimedia.org/wiki/File:Longarone_disastro.jpg
#020	○	D'	600	352	Taken on 9 October 1963	Unknown author Unknown author	Public domain	Longarone Pirago.jpg	ピラーゴの鐘楼・根こそぎの木（600px）	https://commons.wikimedia.org/wiki/File:Longarone_Pirago.jpg
#021	◎	D'	800	558	1963-10-10	Unknown author Unknown author	Public domain	Vajont Dam 1963.jpg	崩れた土砂の上からダムを見る・残った池・小さな人影	https://commons.wikimedia.org/wiki/File:Vajont_Dam_1963.jpg
#022	△	D	893	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont Dam after October 9 1963.jpg	ダムの天端の近景（上部の構造が一部壊れて見える＝損傷の有無は未確定・赤い判子が写る）	https://commons.wikimedia.org/wiki/File:Vajont_Dam_after_October_9_1963.jpg
#023	◎	A	800	550	1963	US Army	Public domain	Vajont Dam landslide.jpg	ダムと、その奥で谷を埋めた崩れた山・残った湖＝サムネ候補A	https://commons.wikimedia.org/wiki/File:Vajont_Dam_landslide.jpg
#024	○	D	873	660	1963	Vigili del fuoco	Public domain	Vajont1963 1.jpg	救援のテント村とトラック	https://commons.wikimedia.org/wiki/File:Vajont1963_1.jpg
#025	○	D	886	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 2.jpg	軍のトラックの列と整列した兵士	https://commons.wikimedia.org/wiki/File:Vajont1963_2.jpg
#026	○	D	890	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 3.jpg	削られた地面・水たまり・木（暗い）	https://commons.wikimedia.org/wiki/File:Vajont1963_3.jpg
#027	○	D	897	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 4.jpg	兵士の運転するブルドーザーと流木（後ろ姿）	https://commons.wikimedia.org/wiki/File:Vajont1963_4.jpg
#028	◎	D	908	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 5.jpg	がれきの原で捜す人たち（小さい）・ピラーゴの鐘楼・奥にヴァイオントの峡谷の出口＝サムネ候補C	https://commons.wikimedia.org/wiki/File:Vajont1963_5.jpg
#029	○	D	901	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 6.jpg	道のトンネルの入口と層になった岩	https://commons.wikimedia.org/wiki/File:Vajont1963_6.jpg
#030	○	D	864	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 7.jpg	残った湖と崩れた山の表面・道路	https://commons.wikimedia.org/wiki/File:Vajont1963_7.jpg
#031	○	D	886	660	1963	Ispettorato Vigili del Fuoco	Public domain	Vajont1963 8.jpg	峡谷の出口と水たまり・2人の小さな人影・電柱	https://commons.wikimedia.org/wiki/File:Vajont1963_8.jpg
#032	○	A	633	500	1963	US Army	Public domain	Vajont1963usarmy.jpg	空撮：削られたピアーヴェの谷とロンガローネの残った家並み	https://commons.wikimedia.org/wiki/File:Vajont1963usarmy.jpg
#033	○	D	1000	1340	1955	Maurizio Reberschak	Public domain	Valle del Vajont 1955.jpg	建設前の峡谷（1955）・アーチ橋・ケーブル（出どころ＝Reberschak 編『Il grande Vajont』2012）	https://commons.wikimedia.org/wiki/File:Valle_del_Vajont_1955.jpg
#034	◎	D'	640	750	1963		Public domain	Valle del Vajont 1963.jpg	#007 と同じ写真の疑い（別の切り方）＝どちらか1点＝サムネ候補B	https://commons.wikimedia.org/wiki/File:Valle_del_Vajont_1963.jpg
