title	cat	w	h	mime	bd	lic	artist	credit	dto	hidden	desc	page	thumb	url
File:China Airlines Flight 140 and Go Lever Alignment with Thrust Lever.png	Category:China Airlines Flight 140	974	583	image/png	8	CC BY 4.0	航空事故調査委員会	http://www.mlit.go.jp/jtsb/eng-air_report/B1816.pdf	1994-04-26	CC-BY-4.0|GJSTU-2.0	Flight 140 ultimately stalled and crashed into the ground, killing 264 of the 271 people on board.	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_and_Go_Lever_Alignment_with_Thrust_Lever.png	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/China_Airlines_Flight_140_and_Go_Lever_Alignment_with_Thrust_Lever.png/960px-China_Airlines_Flight_140_and_Go_Lever_Alignment_with_Thrust_Lever.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/e/ed/China_Airlines_Flight_140_and_Go_Lever_Alignment_with_Thrust_Lever.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 EN.svg	Category:China Airlines Flight 140	802	300	image/svg+xml	0	CC BY-SA 4.0	Goran tek-en	Own work based on: Aircraft accident investigation report China Airlines Airbus Industrie A300B4-622R, B1816, Nagoya Air	2014-11-30	CC-BY-SA-4.0|Translation possible - SVG|Valid SVG created with Inkscape	Seat map of China Airlines Flight 140 (English).	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_EN.svg	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/China_Airlines_Flight_140_EN.svg/960px-China_Airlines_Flight_140_EN.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/d/de/China_Airlines_Flight_140_EN.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 JP.svg	Category:China Airlines Flight 140	802	300	image/svg+xml	0	CC BY-SA 4.0	Goran tek-en	Own work based on: Aircraft accident investigation report China Airlines Airbus Industrie A300B4-622R, B1816, Nagoya Air	2014-12-01	CC-BY-SA-4.0|Translation possible - SVG|Valid SVG created with Inkscape	Seat map of China Airlines Flight 140 (Japanese).	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_JP.svg	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/China_Airlines_Flight_140_JP.svg/960px-China_Airlines_Flight_140_JP.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/8/89/China_Airlines_Flight_140_JP.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 Rescue Activities.png	Category:China Airlines Flight 140	1242	838	image/png	8	CC BY 4.0	航空事故調査委員会	http://www.mlit.go.jp/jtsb/eng-air_report/B1816.pdf	1994-04-26	CC-BY-4.0|GJSTU-2.0	Flight 140 ultimately stalled and crashed into the ground, killing 264 of the 271 people on board.	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_Rescue_Activities.png	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/China_Airlines_Flight_140_Rescue_Activities.png/960px-China_Airlines_Flight_140_Rescue_Activities.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/5/55/China_Airlines_Flight_140_Rescue_Activities.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 Site Where the Accident Occurred and Its Vicinity.png	Category:China Airlines Flight 140	1200	812	image/png	8	CC BY 4.0	航空事故調査委員会	http://www.mlit.go.jp/jtsb/eng-air_report/B1816.pdf	1994-04-26	CC-BY-4.0|GJSTU-2.0	Flight 140 ultimately stalled and crashed into the ground, killing 264 of the 271 people on board.	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_Site_Where_the_Accident_Occurred_and_Its_Vicinity.png	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/China_Airlines_Flight_140_Site_Where_the_Accident_Occurred_and_Its_Vicinity.png/960px-China_Airlines_Flight_140_Site_Where_the_Accident_Occurred_and_Its_Vicinity.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/2/20/China_Airlines_Flight_140_Site_Where_the_Accident_Occurred_and_Its_Vicinity.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 Site Where the Accident Occurred.png	Category:China Airlines Flight 140	1213	827	image/png	8	CC BY 4.0	航空事故調査委員会	http://www.mlit.go.jp/jtsb/eng-air_report/B1816.pdf	1994-04-26	CC-BY-4.0|GJSTU-2.0	Flight 140 ultimately stalled and crashed into the ground, killing 264 of the 271 people on board.	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_Site_Where_the_Accident_Occurred.png	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/China_Airlines_Flight_140_Site_Where_the_Accident_Occurred.png/960px-China_Airlines_Flight_140_Site_Where_the_Accident_Occurred.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/f/fd/China_Airlines_Flight_140_Site_Where_the_Accident_Occurred.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 Thrust Lever and Go Lever.png	Category:China Airlines Flight 140	869	586	image/png	8	CC BY 4.0	航空事故調査委員会	http://www.mlit.go.jp/jtsb/eng-air_report/B1816.pdf	1994-04-26	CC-BY-4.0|GJSTU-2.0	Flight 140 ultimately stalled and crashed into the ground, killing 264 of the 271 people on board.	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_Thrust_Lever_and_Go_Lever.png	https://upload.wikimedia.org/wikipedia/commons/b/b4/China_Airlines_Flight_140_Thrust_Lever_and_Go_Lever.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://upload.wikimedia.org/wikipedia/commons/b/b4/China_Airlines_Flight_140_Thrust_Lever_and_Go_Lever.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 wreckage 2.jpg	Category:China Airlines Flight 140	934	619	image/jpeg	8	CC BY 4.0	航空事故調査委員会	https://aviation-safety.net/database/record.php?id=19940426-0	1994-04-26	CC-BY-4.0|GJSTU-2.0	China Airlines Flight 140 wreckage	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_wreckage_2.jpg	https://upload.wikimedia.org/wikipedia/commons/d/db/China_Airlines_Flight_140_wreckage_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://upload.wikimedia.org/wikipedia/commons/d/db/China_Airlines_Flight_140_wreckage_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 wreckage 3.jpg	Category:China Airlines Flight 140	944	634	image/jpeg	8	CC BY 4.0	航空事故調査委員会	https://aviation-safety.net/database/record.php?id=19940426-0	1994-04-26	CC-BY-4.0|GJSTU-2.0	China Airlines Flight 140 wreckage	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_wreckage_3.jpg	https://upload.wikimedia.org/wikipedia/commons/2/29/China_Airlines_Flight_140_wreckage_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://upload.wikimedia.org/wikipedia/commons/2/29/China_Airlines_Flight_140_wreckage_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Flight 140 wreckage 4.jpg	Category:China Airlines Flight 140	976	648	image/jpeg	8	CC BY 4.0	航空事故調査委員会	https://aviation-safety.net/database/record.php?id=19940426-0	1994-04-26	CC-BY-4.0|GJSTU-2.0	China Airlines Flight 140 wreckage	https://commons.wikimedia.org/wiki/File:China_Airlines_Flight_140_wreckage_4.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4c/China_Airlines_Flight_140_wreckage_4.jpg/960px-China_Airlines_Flight_140_wreckage_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/4/4c/China_Airlines_Flight_140_wreckage_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
