title	cat	w	h	mime	bd	lic	artist	credit	dto	hidden	desc	page	thumb	url
File:China Airlines Airbus A300B4-220 (B-1810-179).jpg	Category:Airbus A300 of China Airlines at Nagoya Airport	4096	2771	image/jpeg	8	CC BY-SA 2.0	contri from Yonezawa-Shi Yamagata, Japan	CHINA AIRLINES A300B4-220 (B-1810/179)	circa 1992 date QS:P,+1992-00-00T00:00:00Z/9,P1480,Q5727902 	CC-BY-SA-2.0|Files from contri Flickr stream|Flickr images reviewed by FlickreviewR|Images with annotations	China Airlines Airbus A300B4-220 (B-1810-179).	https://commons.wikimedia.org/wiki/File:China_Airlines_Airbus_A300B4-220_(B-1810-179).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/China_Airlines_Airbus_A300B4-220_%28B-1810-179%29.jpg/960px-China_Airlines_Airbus_A300B4-220_%28B-1810-179%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/1/1f/China_Airlines_Airbus_A300B4-220_%28B-1810-179%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:B-18551 A300B4-622R China Al NGO 07JUL01 (7018144159).jpg	Category:Airbus A300 of China Airlines at Nagoya Airport	1851	1234	image/jpeg	8	CC BY-SA 3.0	Ken Fielding	Flickr	2001-07-07	CC-BY-SA-3.0|Items with VRTS permission confirmed|Photographs by Ken Fielding	Airbus A300B4-622R (registration B-18551) of China Airlines at Nagoya Airport.	https://commons.wikimedia.org/wiki/File:B-18551_A300B4-622R_China_Al_NGO_07JUL01_(7018144159).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/B-18551_A300B4-622R_China_Al_NGO_07JUL01_%287018144159%29.jpg/960px-B-18551_A300B4-622R_China_Al_NGO_07JUL01_%287018144159%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/a/a3/B-18551_A300B4-622R_China_Al_NGO_07JUL01_%287018144159%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Airbus A300-622R (N8888P 555) (6821272981).jpg	Category:Airbus A300 of China Airlines at Nagoya Airport	4096	2730	image/jpeg	8	CC BY-SA 2.0	contri from Yonezawa-Shi, Yamagata, Japan	China Airlines Airbus A300-622R (N8888P/555)	2012-02-05 15:22	CC-BY-SA-2.0|Files from contri Flickr stream|Flickr images reviewed by File Upload Bot (Magnus Manske)|Scanned with Nikon Coolscan V ED	HIstoric Photo	https://commons.wikimedia.org/wiki/File:China_Airlines_Airbus_A300-622R_(N8888P_555)_(6821272981).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/China_Airlines_Airbus_A300-622R_%28N8888P_555%29_%286821272981%29.jpg/960px-China_Airlines_Airbus_A300-622R_%28N8888P_555%29_%286821272981%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/2/29/China_Airlines_Airbus_A300-622R_%28N8888P_555%29_%286821272981%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Airbus A300B4-622R (N8888P-555) (28641358314).jpg	Category:Airbus A300 of China Airlines at Nagoya Airport	4096	2730	image/jpeg	8	CC BY-SA 2.0	contri from Yonezawa, Yamagata, Japan	China Airlines Airbus A300B4-622R (N8888P/555)	2016-08-27 22:13	CC-BY-SA-2.0|Files from contri Flickr stream|Flickr images reviewed by FlickreviewR	OLD Photo...	https://commons.wikimedia.org/wiki/File:China_Airlines_Airbus_A300B4-622R_(N8888P-555)_(28641358314).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/China_Airlines_Airbus_A300B4-622R_%28N8888P-555%29_%2828641358314%29.jpg/960px-China_Airlines_Airbus_A300B4-622R_%28N8888P-555%29_%2828641358314%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/d/d8/China_Airlines_Airbus_A300B4-622R_%28N8888P-555%29_%2828641358314%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:Airbus A300B4-220 PW CAL CIS PAINT 2.tif	Category:Airbus A300 of China Airlines	3000	1669	image/tiff	0	CC BY-SA 4.0	Tdhla1	Own work	2019-04-03	CC-BY-SA-4.0|Self-published work	The Airbus A300B4 was used by China Airlines since 1989 was fitted with Pratt and Whitney JT-9s which were also used on their 747-200B Fleet. Note: Before 1995, China Airline's Cooperate identity System (CIS) was used for its fleet which included the Republic of China Flag (Taiwan Island), this would create outrage in the People's Republic of China (PRC).	https://commons.wikimedia.org/wiki/File:Airbus_A300B4-220_PW_CAL_CIS_PAINT_2.tif	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1c/Airbus_A300B4-220_PW_CAL_CIS_PAINT_2.tif/lossless-page1-960px-Airbus_A300B4-220_PW_CAL_CIS_PAINT_2.tif.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/1/1c/Airbus_A300B4-220_PW_CAL_CIS_PAINT_2.tif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:A300, B-1814, China Airlines Hong Kong, Kai Tak May 1997.jpg	Category:B-1814 (aircraft)	5552	3712	image/jpeg	8	CC BY-SA 2.0	Mike Cornwall	https://www.flickr.com/photos/hilifta/19100085852/	1997-05	CC-BY-SA-2.0|Flickr images reviewed by FlickreviewR 2	A300, B-1814, China Airlines Hong Kong, Kai Tak May 1997	https://commons.wikimedia.org/wiki/File:A300,_B-1814,_China_Airlines_Hong_Kong,_Kai_Tak_May_1997.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/A300%2C_B-1814%2C_China_Airlines_Hong_Kong%2C_Kai_Tak_May_1997.jpg/960px-A300%2C_B-1814%2C_China_Airlines_Hong_Kong%2C_Kai_Tak_May_1997.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/b/b8/A300%2C_B-1814%2C_China_Airlines_Hong_Kong%2C_Kai_Tak_May_1997.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:B-1814 China Airlines Airbus A.300B4 622R on short finals at HKG 19.11.1997.jpg	Category:B-1814 (aircraft)	1535	1028	image/jpeg	8	CC BY-SA 3.0	CACTUSMAN13	Own work	1997-11-19 17:21:28	CC-BY-SA-3.0|Self-published work	B-1814 HKG 19.11.97 B-1814 China Airlines Airbus A.300B4 622R on short finals at HKG 19.11.1997. 3 months later the aircraft crashed in Taiwan	https://commons.wikimedia.org/wiki/File:B-1814_China_Airlines_Airbus_A.300B4_622R_on_short_finals_at_HKG_19.11.1997.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/B-1814_China_Airlines_Airbus_A.300B4_622R_on_short_finals_at_HKG_19.11.1997.jpg/960px-B-1814_China_Airlines_Airbus_A.300B4_622R_on_short_finals_at_HKG_19.11.1997.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/b/b1/B-1814_China_Airlines_Airbus_A.300B4_622R_on_short_finals_at_HKG_19.11.1997.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines B-1814 Airbus A300 at HK airport.jpg	Category:B-1814 (aircraft)	1024	681	image/jpeg	8	CC BY-SA 4.0	PaulMCC Images	Own work	1997-11	CC-BY-SA-4.0|Self-published work	China Airlines B-1814 Airbus A300 at HK airport	https://commons.wikimedia.org/wiki/File:China_Airlines_B-1814_Airbus_A300_at_HK_airport.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/China_Airlines_B-1814_Airbus_A300_at_HK_airport.jpg/960px-China_Airlines_B-1814_Airbus_A300_at_HK_airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/6/65/China_Airlines_B-1814_Airbus_A300_at_HK_airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines B-1814 Airbus A300B4-622R at HK Airport.jpg	Category:B-1814 (aircraft)	1024	655	image/jpeg	8	GFDL 1.2	Alain Durand	https://www.airliners.net/user/uy707/profile/photos	1991-09-30	GFDL|GFDL-1.2|Items with VRTS permission confirmed|Photos by Alain Durand	China Airlines B-1814 Airbus A300 at HK airport	https://commons.wikimedia.org/wiki/File:China_Airlines_B-1814_Airbus_A300B4-622R_at_HK_Airport.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/China_Airlines_B-1814_Airbus_A300B4-622R_at_HK_Airport.jpg/960px-China_Airlines_B-1814_Airbus_A300B4-622R_at_HK_Airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/2/23/China_Airlines_B-1814_Airbus_A300B4-622R_at_HK_Airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:HONG KONG KAI TAK 19 OCT 1993 CHINA AIRLINES AIRBUS A300 B-1814 (cropped).jpg	Category:B-1814 (aircraft)	1626	584	image/jpeg	8	CC BY 2.0	simon butler	https://www.flickr.com/photos/antonov22/8580245260/	1993-10-19	CC-BY-2.0|Flickr images missing SDC creator|Flickr images reviewed by trusted users	HONG KONG KAI TAK 19 OCT 1993 CHINA AIRLINES AIRBUS A300 B-1814 W/O 16 FEB 1998 Crashed on landing Taipei-Chaing Kai Shek Int'l. killing all 196 onboard and 7 people on the ground	https://commons.wikimedia.org/wiki/File:HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814_(cropped).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814_%28cropped%29.jpg/960px-HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/3/39/HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
